,mom_12_1,mom_6_1,mom_3_1,tsmom_12,tsmom_sign_12,reversal_1m,ma_gap_12m,ma_crossover_6_12,vol_3m,vol_12m,vol_regime_3_12,log_volume,abnormal_log_volume
mom_12_1,1.0,0.6225312705901697,0.37596667167481324,0.8519534309324893,0.6272684992821428,0.008697761234314807,0.6652690531689153,0.8115433661006486,-0.041001536308525925,0.02524135662437244,-0.05620913676609472,-0.06861459496428705,0.031167472109516575
mom_6_1,0.6225312705901697,1.0,0.595270424737404,0.5501230116928967,0.4322110885158971,0.019788924563105194,0.7449287758790132,0.6980146676546437,-0.06098717032046708,0.08936395957725138,-0.11754527732046709,-0.057676774973809714,-0.0607273591054183
mom_3_1,0.37596667167481324,0.595270424737404,1.0,0.34589464717182117,0.2716140840415094,0.0340288355377893,0.5510977587817543,0.24858231132644656,0.007821405249191475,0.08243614000092866,-0.0513913224309568,-0.04645688657919346,-0.09594377642662077
tsmom_12,0.8519534309324893,0.5501230116928967,0.34589464717182117,1.0,0.6890573688515529,-0.0006907341730796582,0.6291189688331649,0.7442312845066179,-0.18220660623383073,-0.21407638149079417,-0.036570100473002964,-0.11632226714398672,0.008330634593929251
tsmom_sign_12,0.6272684992821428,0.4322110885158971,0.2716140840415094,0.6890573688515529,1.0,0.024392318061574377,0.5293302488440074,0.6291855860286396,-0.20547958657190948,-0.21317697157963378,-0.06989994777807952,-0.12832773027470507,-0.022183615733572398
reversal_1m,0.008697761234314807,0.019788924563105194,0.0340288355377893,-0.0006907341730796582,0.024392318061574377,1.0,-0.4551296687408919,-0.055295576485939114,-0.12251615545554595,-0.08757221306380013,-0.05479115907505113,0.029184806971909286,0.04297639016012758
ma_gap_12m,0.6652690531689153,0.7449287758790132,0.5510977587817543,0.6291189688331649,0.5293302488440074,-0.4551296687408919,1.0,0.7794805784705989,-0.1395246903958983,-0.06994460134366395,-0.09032982785038562,-0.13083881910189987,-0.10883029099690755
ma_crossover_6_12,0.8115433661006486,0.6980146676546437,0.24858231132644656,0.7442312845066179,0.6291855860286396,-0.055295576485939114,0.7794805784705989,1.0,-0.15600985945025597,-0.08727782004809714,-0.09009308276074407,-0.10888793200516043,-0.013911701369394147
vol_3m,-0.041001536308525925,-0.06098717032046708,0.007821405249191475,-0.18220660623383073,-0.20547958657190948,-0.12251615545554595,-0.1395246903958983,-0.15600985945025597,1.0,0.6500849156563212,0.6648104803763456,0.16259694732922106,0.1786050373630556
vol_12m,0.02524135662437244,0.08936395957725138,0.08243614000092866,-0.21407638149079417,-0.21317697157963378,-0.08757221306380013,-0.06994460134366395,-0.08727782004809714,0.6500849156563212,1.0,-0.024472362341296072,0.21099053230714,0.033713126411037554
vol_regime_3_12,-0.05620913676609472,-0.11754527732046709,-0.0513913224309568,-0.036570100473002964,-0.06989994777807952,-0.05479115907505113,-0.09032982785038562,-0.09009308276074407,0.6648104803763456,-0.024472362341296072,1.0,0.02614109412081494,0.19085789731777933
log_volume,-0.06861459496428705,-0.057676774973809714,-0.04645688657919346,-0.11632226714398672,-0.12832773027470507,0.029184806971909286,-0.13083881910189987,-0.10888793200516043,0.16259694732922106,0.21099053230714,0.02614109412081494,1.0,0.1364984757591517
abnormal_log_volume,0.031167472109516575,-0.0607273591054183,-0.09594377642662077,0.008330634593929251,-0.022183615733572398,0.04297639016012758,-0.10883029099690755,-0.013911701369394147,0.1786050373630556,0.033713126411037554,0.19085789731777933,0.1364984757591517,1.0
