run_key,return_type,cost_convention,cost_bps,regime,model,status,n_obs,alpha_monthly,alpha_annualized,alpha_tstat,r2,beta_mkt_rf,beta_smb,beta_hml,beta_umd,beta_rmw,beta_cma
Elastic Net,gross,one_way,0.0,full_sample,carhart4,ok,300,-0.004644596080574167,-0.054333197101789854,-1.48578890054758,0.6856704374314491,1.1914482269179536,0.7124444729801239,-0.5655418043803426,-0.33922113862844455,,
Elastic Net,gross,one_way,0.0,full_sample,ff3,ok,300,-0.006675719408080848,-0.07723180615514291,-2.1339016399883177,0.6537086967237613,1.3524181111889462,0.6602623381000396,-0.49608072903024153,,,
Elastic Net,gross,one_way,0.0,full_sample,ff5,ok,300,-0.0021375971707151787,-0.02535172934023744,-0.6898904110186338,0.695244842655214,1.2654976499517883,0.3136548636542208,-0.14754606111142654,,-0.7870127304063573,-0.17602394370479468
Random Forest,gross,one_way,0.0,full_sample,carhart4,ok,300,0.0008388453840802535,0.010112716376478259,0.3383128718521146,0.6198161983619479,0.9216186980738141,0.30751725097413163,-0.32413319229292,-0.21583904577194762,,
Random Forest,gross,one_way,0.0,full_sample,ff3,ok,300,-0.00045351429204938985,-0.005428617440467298,-0.18749804353791905,0.596164356467801,1.0240403406623302,0.2743148914619875,-0.27993661809805326,,,
Random Forest,gross,one_way,0.0,full_sample,ff5,ok,300,0.0025181505338934106,0.03063985072595954,0.975978233685266,0.6337557625116026,0.9733303434025687,0.025780327699470598,-0.08097293501267064,,-0.5594877749569499,-0.011365163224293685
Torch (gamma=5.0),gross,one_way,0.0,full_sample,carhart4,ok,300,0.002039397202416547,0.024749144393281686,1.1955738255006843,0.7689327889186023,1.0287353176876937,0.2992832068287211,-0.20918914967486302,0.08925890476173992,,
Torch (gamma=5.0),gross,one_way,0.0,full_sample,ff3,ok,300,0.002573844567289783,0.03132713642238749,1.56841805767823,0.7635015244720701,0.9863794797592361,0.31301383760944973,-0.22746637005797674,,,
Torch (gamma=5.0),gross,one_way,0.0,full_sample,ff5,ok,300,0.003566889896718964,0.04365244148358838,2.163480265766008,0.7706203194360545,0.972241004131628,0.2202064244019804,-0.17421344996874585,,-0.20692458479615844,0.0431908813752919
