run_key,alpha_annualized,alpha_tstat,r2,beta_mkt_rf,beta_smb,beta_hml,beta_umd,beta_rmw,beta_cma
Elastic Net,-0.054333197101789854,-1.48578890054758,0.6856704374314491,1.1914482269179536,0.7124444729801239,-0.5655418043803426,-0.33922113862844455,,
Random Forest,0.010112716376478259,0.3383128718521146,0.6198161983619479,0.9216186980738141,0.30751725097413163,-0.32413319229292,-0.21583904577194762,,
Torch (gamma=5.0),0.024749144393281686,1.1955738255006843,0.7689327889186023,1.0287353176876937,0.2992832068287211,-0.20918914967486302,0.08925890476173992,,
