run_key,alpha_annualized,alpha_tstat,r2,beta_mkt_rf,beta_smb,beta_hml,beta_umd,beta_rmw,beta_cma
Elastic Net,-0.02535172934023744,-0.6898904110186338,0.695244842655214,1.2654976499517883,0.3136548636542208,-0.14754606111142654,,-0.7870127304063573,-0.17602394370479468
Random Forest,0.03063985072595954,0.975978233685266,0.6337557625116026,0.9733303434025687,0.025780327699470598,-0.08097293501267064,,-0.5594877749569499,-0.011365163224293685
Torch (gamma=5.0),0.04365244148358838,2.163480265766008,0.7706203194360545,0.972241004131628,0.2202064244019804,-0.17421344996874585,,-0.20692458479615844,0.0431908813752919
