date,rf,mkt_rf,smb,hml,umd,rmw,cma
1989-12-29,0.0060999999999999995,0.010195672690763056,-0.022799999999999997,0.0015,0.0279,-0.0007000000000000001,0.0131
1990-01-31,0.005699999999999999,-0.07742419277108434,-0.0121,0.0083,-0.0298,-0.011200000000000002,0.013999999999999999
1990-02-28,0.005699999999999999,0.009777607214428854,0.0115,0.006500000000000001,-0.0051,-0.0004,-0.0060999999999999995
1990-03-30,0.0064,0.013918486,0.0159,-0.028999999999999998,0.0172,0.0199,-0.009399999999999999
1990-04-30,0.0069,-0.04746071,-0.0034999999999999996,-0.025699999999999997,0.022799999999999997,0.0178,-0.01
1990-05-31,0.0068000000000000005,0.085620004,-0.0241,-0.038900000000000004,0.031400000000000004,0.0168,-0.0163
1990-06-29,0.0063,-0.018298352705410827,0.0131,-0.02,0.024900000000000002,-0.009899999999999999,-0.0039000000000000003
1990-07-31,0.0068000000000000005,-0.024893124,-0.0315,-0.0006,0.0604,-0.001,0.0321
1990-08-31,0.0066,-0.10625421061047792,-0.0379,0.015600000000000001,0.0197,-0.0048,0.029900000000000003
1990-09-28,0.006,-0.07098424899598393,-0.037200000000000004,0.0059,0.0571,0.0003,0.0362
1990-10-31,0.0068000000000000005,-0.028154926000000004,-0.0506,0.0008,0.0674,0.0317,-0.0025
1990-11-30,0.005699999999999999,0.080850676,0.0002,-0.0297,-0.0536,0.0058,-0.0471
1990-12-31,0.006,0.030619376000000004,0.006,-0.015700000000000002,0.0025,0.026600000000000002,-0.019799999999999998
1991-01-31,0.0052,0.054147717434869735,0.0387,-0.0148,-0.0647,0.0134,-0.0407
1991-02-28,0.0048,0.07416117000000001,0.04019999999999999,-0.0062,-0.049400000000000006,-0.0006,-0.0034000000000000002
1991-03-28,0.0044,0.025760853707414825,0.0381,-0.013000000000000001,0.0271,-0.0052,-0.009899999999999999
1991-04-30,0.0053,0.004080892,0.0034999999999999996,0.0149,-0.0232,0.0067,0.008100000000000001
1991-05-31,0.004699999999999999,0.04456582364729458,0.0014000000000000002,-0.0052,-0.0009,0.0207,-0.0236
1991-06-28,0.0042,-0.050470586000000005,0.003,0.0108,0.0042,0.0175,0.0068000000000000005
1991-07-31,0.0049,0.03553422690763053,-0.01,-0.013000000000000001,0.0426,0.016,-0.0144
1991-08-30,0.0046,0.019737424000000003,0.014199999999999999,-0.0079,0.0158,0.0085,-0.0032
1991-09-30,0.0046,-0.019637218436873743,0.0158,-0.0123,0.0175,-0.0177,-0.0004
1991-10-31,0.0042,0.011944120000000006,0.0085,-0.0043,0.0318,-0.0165,-0.003
1991-11-29,0.0039000000000000003,-0.043731632000000006,-0.0088,-0.0177,0.0118,0.011000000000000001,-0.0012
1991-12-31,0.0038,0.103086619010446,-0.0241,-0.042300000000000004,0.08289999999999999,0.036699999999999997,-0.031400000000000004
1992-01-31,0.0034000000000000002,0.0033910641282565105,0.0919,0.0467,-0.025,-0.011699999999999999,0.0325
1992-02-28,0.0028000000000000004,0.019978812000000002,0.013000000000000001,0.06509999999999999,-0.006999999999999999,0.0007000000000000001,0.0225
1992-03-31,0.0034000000000000002,-0.02207679924141884,-0.0089,0.0349,-0.0021,-0.0006,0.0182
1992-04-30,0.0032,0.011019291164658634,-0.0575,0.0436,-0.0255,0.0165,0.024
1992-05-29,0.0028000000000000004,0.0040752779999999955,0.002,0.0111,0.0006,-0.0091,0.0049
1992-06-30,0.0032,-0.018918657314629262,-0.0276,0.032400000000000005,-0.005699999999999999,-0.0006,0.0095
1992-07-31,0.0031,0.03576897800000001,-0.006500000000000001,-0.0051,0.0147,0.0124,-0.0097
1992-08-31,0.0026,-0.025848169999999997,-0.0039000000000000003,-0.0109,-0.004699999999999999,0.0366,-0.016399999999999998
1992-09-30,0.0026,0.014812710000000002,0.004699999999999999,-0.0019,0.0144,0.0161,-0.0068000000000000005
1992-10-30,0.0023,0.015540811999999998,0.0209,-0.019799999999999998,0.025,0.011899999999999999,-0.0091
1992-11-30,0.0023,0.038891404000000004,0.0388,-0.0152,-0.0025,-0.0054,-0.0158
1992-12-31,0.0028000000000000004,0.016958173999999996,0.0165,0.0264,0.0433,-0.0052,0.0083
1993-01-29,0.0023,0.014626542,0.0194,0.059000000000000004,0.048499999999999995,-0.019,0.0294
1993-02-26,0.0022,0.010349533999999997,-0.0337,0.06480000000000001,0.0318,-0.004699999999999999,0.0415
1993-03-31,0.0025,0.02702844176706827,0.0009,0.0126,0.037000000000000005,-0.0022,0.008199999999999999
1993-04-30,0.0024,-0.025813693999999998,-0.008100000000000001,0.0255,0.0036,-0.0369,0.0138
1993-05-28,0.0022,0.02236661,0.0194,-0.0346,0.0021,-0.0014000000000000002,-0.0103
1993-06-30,0.0025,0.002968055999999997,0.0012,0.0264,0.045700000000000005,-0.0091,0.0116
1993-07-30,0.0024,-0.003662874,0.0096,0.0287,0.0322,-0.0184,0.020499999999999997
1993-08-31,0.0025,0.036649616,0.0008,0.0018,0.0254,-0.0152,0.0004
1993-09-30,0.0026,-0.005440712000000002,0.0302,-0.0024,0.0339,0.0025,-0.0019
1993-10-29,0.0022,0.00540805220883534,0.018600000000000002,-0.0278,-0.026699999999999998,0.0060999999999999995,0.005600000000000001
1993-11-30,0.0025,-0.018558222444889777,-0.0131,-0.0078000000000000005,-0.04769999999999999,0.0219,-0.0103
1993-12-31,0.0023,0.022144694647246492,0.013500000000000002,0.0025,0.0233,0.011399999999999999,-0.0034999999999999996
1994-01-31,0.0025,0.022304375502008037,-0.0005,0.011000000000000001,0.0011,-0.0154,0.0139
1994-02-28,0.0021,-0.023557314,0.0262,-0.0152,-0.0034000000000000002,0.0208,-0.009399999999999999
1994-03-31,0.0027,-0.04285337074148297,-0.0103,0.0167,-0.0132,0.006500000000000001,0.0139
1994-04-29,0.0027,0.007344811623246493,-0.01,0.0166,0.0033,0.0105,0.011399999999999999
1994-05-31,0.0032,0.0038015360000000042,-0.024900000000000002,0.006,-0.020499999999999997,0.0064,0.006
1994-06-30,0.0031,-0.027291589999999998,-0.0052,0.0177,-0.009000000000000001,0.0105,0.015
1994-07-29,0.0028000000000000004,0.03127826052104209,-0.0187,0.0060999999999999995,0.0011,-0.0066,0.001
1994-08-31,0.0037,0.04044018724263454,0.0144,-0.0255,0.0154,0.0098,-0.0152
1994-09-30,0.0037,-0.03142462248995984,0.0271,-0.0181,0.0132,0.005600000000000001,0.0106
1994-10-31,0.0038,0.008204040080160322,-0.0222,-0.0166,0.0131,0.0018,-0.0073
1994-11-30,0.0037,-0.04124347548948297,0.0009,-0.0073,-0.0012,0.0048,-0.0053
1994-12-30,0.0044,0.006095651302605208,-0.0005,-0.0009,0.0345,0.004,0.0036
1995-01-31,0.0042,0.024115024847632005,-0.030699999999999998,0.0259,-0.0184,0.0015,-0.006500000000000001
1995-02-28,0.004,0.04216718436873748,-0.0049,0.009899999999999999,-0.004699999999999999,0.0060999999999999995,-0.004
1995-03-31,0.0046,0.019279287726358143,-0.0053,-0.0213,0.0045000000000000005,-0.0013,0.0023
1995-04-28,0.0044,0.015898257999999995,-0.0026,0.0167,0.018000000000000002,0.0043,0.008199999999999999
1995-05-31,0.0054,0.03146803815261044,-0.0217,0.022799999999999997,-0.0055000000000000005,0.0040999999999999995,0.0001
1995-06-30,0.004699999999999999,0.024690682,0.0305,-0.0254,0.0301,-0.0023,-0.0239
1995-07-31,0.0045000000000000005,0.032807694779116464,0.0212,-0.0158,0.026000000000000002,0.0022,-0.0158
1995-08-31,0.004699999999999999,0.007845,0.017,0.0268,0.0005,-0.011699999999999999,0.0149
1995-09-29,0.0043,0.02520170541082164,-0.018600000000000002,-0.0011,0.0286,0.009899999999999999,0.004
