run_key,return_type,cost_convention,cost_bps,regime,model,status,n_obs,alpha_monthly,alpha_annualized,alpha_tstat,r2,beta_mkt_rf,beta_smb,beta_hml,beta_umd,beta_rmw,beta_cma
Elastic Net,gross,one_way,0.0,1990s,carhart4,insufficient_obs,1,,,,,,,,,,
Elastic Net,gross,one_way,0.0,1990s,ff3,insufficient_obs,1,,,,,,,,,,
Elastic Net,gross,one_way,0.0,1990s,ff5,insufficient_obs,1,,,,,,,,,,
Elastic Net,gross,one_way,0.0,2000+,carhart4,ok,299,-0.004828642470096317,-0.05642936899177564,-1.5523769590345238,0.6861317984206583,1.1810327510894187,0.6994841037808412,-0.5477900059085616,-0.35569980542355495,,
Elastic Net,gross,one_way,0.0,2000+,ff3,ok,299,-0.006826412502722039,-0.07891027709921339,-2.180087646338911,0.6514234555284084,1.3510344432167862,0.6520030066499902,-0.48482005058774685,,,
Elastic Net,gross,one_way,0.0,2000+,ff5,ok,299,-0.0022221940764169438,-0.026342813393600673,-0.7120712405973367,0.6924724474671564,1.26588414579623,0.31237903945832973,-0.14728700138366765,,-0.7831985773279005,-0.17059179212694012
Elastic Net,gross,one_way,0.0,full_sample,carhart4,ok,300,-0.004644596080574167,-0.054333197101789854,-1.48578890054758,0.6856704374314491,1.1914482269179536,0.7124444729801239,-0.5655418043803426,-0.33922113862844455,,
Elastic Net,gross,one_way,0.0,full_sample,ff3,ok,300,-0.006675719408080848,-0.07723180615514291,-2.1339016399883177,0.6537086967237613,1.3524181111889462,0.6602623381000396,-0.49608072903024153,,,
Elastic Net,gross,one_way,0.0,full_sample,ff5,ok,300,-0.0021375971707151787,-0.02535172934023744,-0.6898904110186338,0.695244842655214,1.2654976499517883,0.3136548636542208,-0.14754606111142654,,-0.7870127304063573,-0.17602394370479468
Random Forest,gross,one_way,0.0,1990s,carhart4,insufficient_obs,1,,,,,,,,,,
Random Forest,gross,one_way,0.0,1990s,ff3,insufficient_obs,1,,,,,,,,,,
Random Forest,gross,one_way,0.0,1990s,ff5,insufficient_obs,1,,,,,,,,,,
Random Forest,gross,one_way,0.0,2000+,carhart4,ok,299,0.0009832882924376836,0.011863481613442639,0.3968637500775104,0.6232748747602835,0.9297929503615439,0.3176887812355536,-0.3380651222074169,-0.20290629243775632,,
Random Forest,gross,one_way,0.0,2000+,ff3,ok,299,-0.00015632467412172345,-0.0018742840609557998,-0.06501474791428638,0.6028039512208216,1.0267691435777146,0.29060354466021776,-0.30214438237484015,,,
Random Forest,gross,one_way,0.0,2000+,ff5,ok,299,0.003106524286792094,0.037921865807450494,1.2263148664089984,0.6437939883754191,0.9706422544164932,0.03465371927272033,-0.08277470238207972,,-0.5860153121320376,-0.049145923450269045
Random Forest,gross,one_way,0.0,full_sample,carhart4,ok,300,0.0008388453840802535,0.010112716376478259,0.3383128718521146,0.6198161983619479,0.9216186980738141,0.30751725097413163,-0.32413319229292,-0.21583904577194762,,
Random Forest,gross,one_way,0.0,full_sample,ff3,ok,300,-0.00045351429204938985,-0.005428617440467298,-0.18749804353791905,0.596164356467801,1.0240403406623302,0.2743148914619875,-0.27993661809805326,,,
Random Forest,gross,one_way,0.0,full_sample,ff5,ok,300,0.0025181505338934106,0.03063985072595954,0.975978233685266,0.6337557625116026,0.9733303434025687,0.025780327699470598,-0.08097293501267064,,-0.5594877749569499,-0.011365163224293685
Torch (gamma=5.0),gross,one_way,0.0,1990s,carhart4,insufficient_obs,1,,,,,,,,,,
Torch (gamma=5.0),gross,one_way,0.0,1990s,ff3,insufficient_obs,1,,,,,,,,,,
Torch (gamma=5.0),gross,one_way,0.0,1990s,ff5,insufficient_obs,1,,,,,,,,,,
Torch (gamma=5.0),gross,one_way,0.0,2000+,carhart4,ok,299,0.002078365778743047,0.025227467594288733,1.217929498346698,0.7687820430569587,1.0309406109610608,0.30202733638036755,-0.21294777985215715,0.09274797176507052,,
Torch (gamma=5.0),gross,one_way,0.0,2000+,ff3,ok,299,0.002599280088376798,0.03164116021951435,1.5767867474265238,0.7630316531201605,0.986613029385165,0.31440793200881617,-0.22936706248625388,,,
Torch (gamma=5.0),gross,one_way,0.0,2000+,ff5,ok,299,0.0036391735967656316,0.044554850117653366,2.1878820356730095,0.7703084870826721,0.9719107633331387,0.22129655048547414,-0.17443480316718907,,-0.21018358221182137,0.03854938755226588
Torch (gamma=5.0),gross,one_way,0.0,full_sample,carhart4,ok,300,0.002039397202416547,0.024749144393281686,1.1955738255006843,0.7689327889186023,1.0287353176876937,0.2992832068287211,-0.20918914967486302,0.08925890476173992,,
Torch (gamma=5.0),gross,one_way,0.0,full_sample,ff3,ok,300,0.002573844567289783,0.03132713642238749,1.56841805767823,0.7635015244720701,0.9863794797592361,0.31301383760944973,-0.22746637005797674,,,
Torch (gamma=5.0),gross,one_way,0.0,full_sample,ff5,ok,300,0.003566889896718964,0.04365244148358838,2.163480265766008,0.7706203194360545,0.972241004131628,0.2202064244019804,-0.17421344996874585,,-0.20692458479615844,0.0431908813752919
