fold_id,feature,repeat_id,baseline_mean_validation_return,permuted_mean_validation_return,importance_drop
0,mom_12_1,0,0.061170343309640884,0.015108101069927216,0.04606224223971367
0,mom_6_1,0,0.061170343309640884,0.07451008260250092,-0.013339739292860031
0,mom_3_1,0,0.061170343309640884,0.06673981249332428,-0.005569469183683395
0,tsmom_12,0,0.061170343309640884,0.004883654415607452,0.05628668889403343
0,tsmom_sign_12,0,0.061170343309640884,0.1271025687456131,-0.06593222543597221
0,reversal_1m,0,0.061170343309640884,0.05506141483783722,0.006108928471803665
0,ma_gap_12m,0,0.061170343309640884,0.06841593980789185,-0.007245596498250961
0,ma_crossover_6_12,0,0.061170343309640884,0.06270615011453629,-0.001535806804895401
0,vol_3m,0,0.061170343309640884,0.06409872323274612,-0.00292837992310524
0,vol_12m,0,0.061170343309640884,0.061342380940914154,-0.00017203763127326965
0,vol_regime_3_12,0,0.061170343309640884,0.07172315567731857,-0.010552812367677689
0,log_volume,0,0.061170343309640884,0.02594013884663582,0.035230204463005066
0,abnormal_log_volume,0,0.061170343309640884,0.05938015505671501,0.0017901882529258728
0,macro_vix,0,0.061170343309640884,0.061170343309640884,0.0
0,macro_epu,0,0.061170343309640884,0.061170343309640884,0.0
0,macro_credit_spread,0,0.061170343309640884,0.061170343309640884,0.0
0,macro_term_spread,0,0.061170343309640884,0.061170343309640884,0.0
1,mom_12_1,0,-0.022252660244703293,-0.03499676659703255,0.012744106352329254
1,mom_6_1,0,-0.022252660244703293,-0.009941697120666504,-0.012310963124036789
1,mom_3_1,0,-0.022252660244703293,-0.002631362061947584,-0.01962129818275571
1,tsmom_12,0,-0.022252660244703293,-0.06396668404340744,0.04171402379870415
1,tsmom_sign_12,0,-0.022252660244703293,-0.02591385878622532,0.003661198541522026
1,reversal_1m,0,-0.022252660244703293,-0.027638832107186317,0.005386171862483025
1,ma_gap_12m,0,-0.022252660244703293,0.0009687032434158027,-0.023221363488119096
1,ma_crossover_6_12,0,-0.022252660244703293,-0.02098359540104866,-0.0012690648436546326
1,vol_3m,0,-0.022252660244703293,-0.03312203288078308,0.010869372636079788
1,vol_12m,0,-0.022252660244703293,-0.023978617042303085,0.0017259567975997925
1,vol_regime_3_12,0,-0.022252660244703293,0.001652965322136879,-0.023905625566840172
1,log_volume,0,-0.022252660244703293,-0.022433359175920486,0.0001806989312171936
1,abnormal_log_volume,0,-0.022252660244703293,-0.06061640381813049,0.0383637435734272
1,macro_vix,0,-0.022252660244703293,-0.022252660244703293,0.0
1,macro_epu,0,-0.022252660244703293,-0.022252660244703293,0.0
1,macro_credit_spread,0,-0.022252660244703293,-0.022252660244703293,0.0
1,macro_term_spread,0,-0.022252660244703293,-0.022252660244703293,0.0
