feature,mean_importance_drop,std_importance_drop,mean_baseline_return,mean_permuted_return,observation_count,rank
tsmom_12,0.04900035634636879,0.010304430308867843,0.019458841532468796,-0.029541514813899994,2,1
mom_12_1,0.02940317429602146,0.023559479822464386,0.019458841532468796,-0.009944332763552666,2,2
abnormal_log_volume,0.020076965913176537,0.025861408979227823,0.019458841532468796,-0.0006181243807077408,2,3
log_volume,0.01770545169711113,0.024783743038762615,0.019458841532468796,0.001753389835357666,2,4
reversal_1m,0.005747550167143345,0.0005110660995980213,0.019458841532468796,0.013711291365325451,2,5
vol_3m,0.003970496356487274,0.009756484399733773,0.019458841532468796,0.015488345175981522,2,6
vol_12m,0.0007769595831632614,0.0013420847313104305,0.019458841532468796,0.018681881949305534,2,7
macro_credit_spread,0.0,0.0,0.019458841532468796,0.019458841532468796,2,8
macro_epu,0.0,0.0,0.019458841532468796,0.019458841532468796,2,8
macro_term_spread,0.0,0.0,0.019458841532468796,0.019458841532468796,2,8
macro_vix,0.0,0.0,0.019458841532468796,0.019458841532468796,2,8
ma_crossover_6_12,-0.0014024358242750168,0.0001886150496203466,0.019458841532468796,0.020861277356743813,2,9
mom_3_1,-0.012595383683219552,0.00993614357331781,0.019458841532468796,0.03205422521568835,2,10
mom_6_1,-0.01282535120844841,0.000727454605298031,0.019458841532468796,0.032284192740917206,2,11
ma_gap_12m,-0.015233479993185028,0.011296573173191956,0.019458841532468796,0.034692321525653824,2,12
vol_regime_3_12,-0.01722921896725893,0.00944186476104503,0.019458841532468796,0.036688060499727726,2,13
tsmom_sign_12,-0.031135513447225094,0.04920998202047665,0.019458841532468796,0.05059435497969389,2,14
