asset_index,lookback_index,time_index,month_end,value,abs_value
346,115,378,2021-06-30,16.25053,16.25053
437,108,385,2022-01-31,16.25053,16.25053
489,107,386,2022-02-28,16.25053,16.25053
339,112,381,2021-09-30,16.25053,16.25053
487,78,415,2024-07-31,16.25053,16.25053
376,111,382,2021-10-29,16.25053,16.25053
474,74,419,2024-11-29,16.25053,16.25053
483,97,396,2022-12-30,16.25053,16.25053
378,110,383,2021-11-30,16.25053,16.25053
449,100,393,2022-09-30,16.25053,16.25053
