date,strategy,return_for_plot,wealth,cumulative_return
1999-12-31,Elastic Net,0.15577836709381476,1.1557783670938147,0.15577836709381465
2000-01-31,Elastic Net,-0.09085117663319496,1.0507745425161488,0.05077454251614877
2000-02-29,Elastic Net,0.25134089556969946,1.3148771570739988,0.31487715707399877
2000-03-31,Elastic Net,-0.16822110129334253,1.0936870736455513,0.09368707364555129
2000-04-28,Elastic Net,-0.13337088675647676,0.947821058799348,-0.05217894120065203
2000-05-31,Elastic Net,0.017918782036887425,0.9648048577619452,-0.035195142238054755
2000-06-30,Elastic Net,0.03829254281718624,1.001749689088024,0.0017496890880239757
2000-07-31,Elastic Net,-0.15688840271255788,0.8445867804492024,-0.15541321955079757
2000-08-31,Elastic Net,0.2079370827685612,1.0202076917207008,0.020207691720700804
2000-09-29,Elastic Net,-0.14472230996352187,0.8725608779323284,-0.1274391220676716
2000-10-31,Elastic Net,-0.0024394665239481626,0.8704322948805057,-0.12956770511949434
2000-11-30,Elastic Net,-0.1517804333481658,0.7383177039633041,-0.2616822960366959
2000-12-29,Elastic Net,0.05125881087069897,0.7761629915132479,-0.22383700848675214
2001-01-31,Elastic Net,0.3182260492220762,1.0231582738548968,0.02315827385489677
2001-02-28,Elastic Net,-0.12745594485867495,0.89275066932075,-0.10724933067925002
2001-03-30,Elastic Net,-0.08090989927741955,0.8205183025861592,-0.1794816974138408
2001-04-30,Elastic Net,0.1477992377391907,0.9417902822594483,-0.058209717740551725
2001-05-31,Elastic Net,0.08002044738932867,1.0171527619927714,0.01715276199277138
2001-06-29,Elastic Net,0.013382121428187737,1.0307644237647753,0.030764423764775284
2001-07-31,Elastic Net,-0.02241514103535154,1.007659693831865,0.007659693831864933
2001-08-31,Elastic Net,-0.06746583914942908,0.9396770870104414,-0.06032291298955861
2001-09-28,Elastic Net,-0.28685756779897514,0.6701236033142003,-0.3298763966857997
2001-10-31,Elastic Net,0.04696293112285981,0.7015945719404477,-0.2984054280595523
2001-11-30,Elastic Net,0.049740934145539914,0.7364925413402058,-0.2635074586597942
2001-12-31,Elastic Net,0.022597582438265578,0.7531354922583089,-0.2468645077416911
2002-01-31,Elastic Net,-0.03299320965321569,0.7282871350649527,-0.2717128649350473
2002-02-28,Elastic Net,-0.15751067968259616,0.6135741334167812,-0.38642586658321876
2002-03-28,Elastic Net,0.1583771817737451,0.710750275476599,-0.28924972452340103
2002-04-30,Elastic Net,-0.18450433841374914,0.5796137661223991,-0.4203862338776009
2002-05-31,Elastic Net,-0.016807045928009422,0.5698721709346735,-0.43012782906532654
2002-06-28,Elastic Net,-0.22396704281228813,0.4422395860294158,-0.5577604139705842
2002-07-31,Elastic Net,-0.007456383153762987,0.43894207823021897,-0.5610579217697811
2002-08-30,Elastic Net,0.11539065981601289,0.48959189425821587,-0.5104081057417842
2002-09-30,Elastic Net,-0.15343607777459978,0.41447083429299864,-0.5855291657070014
2002-10-31,Elastic Net,0.08583768446846961,0.45004805098842443,-0.5499519490115756
2002-11-29,Elastic Net,0.19340777453165586,0.5370908429624047,-0.4629091570375953
2002-12-31,Elastic Net,-0.02562131423897218,0.5233298696999905,-0.4766701303000095
2003-01-31,Elastic Net,0.009425294296734603,0.5282624077361847,-0.4717375922638153
2003-02-28,Elastic Net,-0.04167137037604242,0.5062489892876703,-0.49375101071232974
2003-03-31,Elastic Net,0.012649390517345666,0.5126527304521815,-0.4873472695478185
2003-04-30,Elastic Net,0.1622862118717757,0.5958492000829885,-0.4041507999170115
2003-05-30,Elastic Net,0.1295657878208239,0.6730508711141485,-0.3269491288858515
2003-06-30,Elastic Net,0.019513706237554912,0.6861845880960005,-0.31381541190399953
2003-07-31,Elastic Net,0.0423837045629228,0.7152676329534922,-0.28473236704650784
2003-08-29,Elastic Net,0.04459973169458353,0.7471683774730377,-0.25283162252696234
2003-09-30,Elastic Net,0.025043624362506824,0.7658801816540161,-0.23411981834598394
2003-10-31,Elastic Net,0.0724639431689643,0.8213788796116287,-0.1786211203883713
2003-11-28,Elastic Net,0.0564097000732692,0.8677126158570386,-0.13228738414296137
2003-12-31,Elastic Net,0.041282914279545536,0.9035343213967449,-0.09646567860325506
2004-01-30,Elastic Net,0.04374699786096243,0.9430612354221944,-0.056938764577805556
2004-02-27,Elastic Net,0.03152118353386088,0.972787641707607,-0.02721235829239299
2004-03-31,Elastic Net,-0.05948279687602165,0.9149235120124093,-0.08507648798759071
2004-04-30,Elastic Net,-0.07486915500952092,0.8464239617696969,-0.15357603823030308
2004-05-28,Elastic Net,0.035037933150323185,0.8760809079590153,-0.12391909204098472
2004-06-30,Elastic Net,-0.027969300885838322,0.8515775374439711,-0.14842246255602887
2004-07-30,Elastic Net,-0.06166615877275693,0.7990640218126378,-0.2009359781873622
2004-08-31,Elastic Net,0.008238032937748635,0.8056467375437003,-0.1943532624562997
2004-09-30,Elastic Net,0.027851667371413875,0.8280853424966323,-0.17191465750336765
2004-10-29,Elastic Net,0.057895651980367974,0.8760278832958611,-0.12397211670413888
2004-11-30,Elastic Net,0.053426827105339206,0.9228312735561655,-0.07716872644383455
2004-12-31,Elastic Net,0.09460691622262102,1.0101374945411083,0.01013749454110835
2005-01-31,Elastic Net,-0.07765769131498873,0.9316925488043389,-0.06830745119566106
2005-02-28,Elastic Net,0.008985406730362383,0.9400641853029938,-0.05993581469700615
2005-03-31,Elastic Net,-0.05255810116134546,0.8906561967536814,-0.10934380324631865
2005-04-29,Elastic Net,-0.03006530385485462,0.8638783475680727,-0.1361216524319273
2005-05-31,Elastic Net,0.024308834411222356,0.8848782232705453,-0.11512177672945467
2005-06-30,Elastic Net,-0.00284831138686057,0.8823578145512189,-0.11764218544878113
2005-07-29,Elastic Net,0.07109532520904113,0.9450893303274766,-0.05491066967252345
2005-08-31,Elastic Net,-0.008002024063461361,0.9375267027640755,-0.06247329723592454
2005-09-30,Elastic Net,-0.026559338596381803,0.912626613622215,-0.08737338637778502
2005-10-31,Elastic Net,-0.013903925405029658,0.8999375212637669,-0.10006247873623308
2005-11-30,Elastic Net,0.050328573667515676,0.9452300930988519,-0.054769906901148135
2005-12-30,Elastic Net,0.011286712073456441,0.9558986330028252,-0.04410136699717482
2006-01-31,Elastic Net,0.02613412816746017,0.9808802103928209,-0.019119789607179083
2006-02-28,Elastic Net,0.011298676396531575,0.9919628584738112,-0.00803714152618884
2006-03-31,Elastic Net,0.03072630150143351,1.0224422083415012,0.022442208341501235
2006-04-28,Elastic Net,0.019344566343977666,1.0422209094736465,0.04222090947364654
2006-05-31,Elastic Net,-0.03176603189791142,1.0091136868186366,0.009113686818636557
2006-06-30,Elastic Net,-0.027034445383311657,0.9818328579667859,-0.018167142033214123
2006-07-31,Elastic Net,-0.03357440357969089,0.9488684053456077,-0.05113159465439232
2006-08-31,Elastic Net,0.051808156567059685,0.9980275282512892,-0.0019724717487108467
2006-09-29,Elastic Net,0.019043183974026892,1.0170331500829217,0.017033150082921722
2006-10-31,Elastic Net,0.04028541001174151,1.0580047475295453,0.05800474752954532
2006-11-30,Elastic Net,0.033459770405105664,1.0934053434693956,0.09340534346939555
2006-12-29,Elastic Net,0.0009371945239725988,1.0944300769697775,0.09443007696977745
2007-01-31,Elastic Net,0.025078321192640248,1.1218765459629114,0.12187654596291142
2007-02-28,Elastic Net,0.006428504884044453,1.129088534817929,0.12908853481792892
2007-03-30,Elastic Net,-0.009678049613532328,1.1181611599598904,0.1181611599598904
2007-04-30,Elastic Net,0.02565763298863067,1.1468505286242827,0.14685052862428272
2007-05-31,Elastic Net,0.03281518917063927,1.184484645671536,0.1844846456715361
2007-06-29,Elastic Net,-0.016260961569805405,1.1652237863682466,0.16522378636824664
2007-07-31,Elastic Net,-0.06366952023751764,1.0910345469208367,0.09103454692083668
2007-08-31,Elastic Net,-0.017652610309441614,1.071774939229905,0.07177493922990497
2007-09-28,Elastic Net,-0.011365816437239329,1.0595933420085846,0.05959334200858457
2007-10-31,Elastic Net,-0.020544250944523276,1.0378247904912141,0.03782479049121412
2007-11-30,Elastic Net,-0.11452040824711672,0.9189726717951819,-0.08102732820481806
2007-12-31,Elastic Net,-0.06722288657770191,0.8571966761110867,-0.14280332388891326
2008-01-31,Elastic Net,0.07410583864754337,0.9207199546801853,-0.0792800453198147
2008-02-29,Elastic Net,-0.06412113253521123,0.8616823484383235,-0.13831765156167652
2008-03-31,Elastic Net,-0.07179833712216878,0.7998149886929267,-0.20018501130707334
2008-04-30,Elastic Net,0.06346072210182357,0.8505718254232416,-0.1494281745767584
2008-05-30,Elastic Net,0.05178034638999267,0.8946147291732254,-0.10538527082677462
2008-06-30,Elastic Net,-0.13433871659601965,0.7744333346081985,-0.22556666539180148
2008-07-31,Elastic Net,-0.018980218513634236,0.7597344206930925,-0.2402655793069075
2008-08-29,Elastic Net,0.020479188959354726,0.7752931654533922,-0.22470683454660778
2008-09-30,Elastic Net,-0.2567681362371856,0.5762225843224967,-0.42377741567750327
2008-10-31,Elastic Net,-0.1617084605475995,0.4830425172789465,-0.5169574827210535
2008-11-28,Elastic Net,-0.04510147941346174,0.46125658513006335,-0.5387434148699366
2008-12-31,Elastic Net,-0.02117903630959474,0.4514876151655541,-0.548512384834446
2009-01-30,Elastic Net,-0.08733515806873324,0.412056872928995,-0.5879431270710049
2009-02-27,Elastic Net,-0.15561793346758798,0.3479334338926683,-0.6520665661073317
2009-03-31,Elastic Net,0.09884639574317426,0.38232539979150454,-0.6176746002084954
2009-04-30,Elastic Net,0.1847331780912078,0.45295358595998075,-0.5470464140400193
2009-05-29,Elastic Net,0.23444975998747458,0.5591484454737642,-0.4408515545262358
2009-06-30,Elastic Net,-0.021591884299850164,0.5470753769326536,-0.4529246230673464
2009-07-31,Elastic Net,0.05884297864043678,0.5792669216522106,-0.4207330783477894
2009-08-31,Elastic Net,0.1355669936708009,0.6577963967535401,-0.34220360324645993
2009-09-30,Elastic Net,0.09248322839611677,0.7186315311526403,-0.28136846884735967
2009-10-30,Elastic Net,-0.10310745068876248,0.6445352659909296,-0.3554647340090704
2009-11-30,Elastic Net,0.0009642139705113041,0.6451567358988852,-0.3548432641011148
2009-12-31,Elastic Net,0.03878190347550744,0.6701771421570892,-0.32982285784291077
2010-01-29,Elastic Net,0.006824420397370826,0.6747507127158778,-0.32524928728412217
2010-02-26,Elastic Net,0.036351991060127785,0.6992792445923403,-0.30072075540765975
2010-03-31,Elastic Net,0.07458907253336206,0.751437834888313,-0.24856216511168705
2010-04-30,Elastic Net,0.03841537323771973,0.7803045997804915,-0.2196954002195085
2010-05-28,Elastic Net,-0.07717723513396756,0.720082848207116,-0.279917151792884
2010-06-30,Elastic Net,-0.07820760488691605,0.6637668933286888,-0.33623310667131123
2010-07-30,Elastic Net,0.08774592662372362,0.722009734445965,-0.27799026555403505
2010-08-31,Elastic Net,-0.07288824200628335,0.6693837141907751,-0.33061628580922486
2010-09-30,Elastic Net,0.08922642970286221,0.7291104331092592,-0.27088956689074084
2010-10-29,Elastic Net,0.028764091839294806,0.750082632568202,-0.24991736743179804
2010-11-30,Elastic Net,0.023357815121155055,0.7676029240253193,-0.23239707597468073
2010-12-31,Elastic Net,0.03978087440855522,0.7981388395416102,-0.20186116045838975
2011-01-31,Elastic Net,0.06144437859068739,0.8471799845663368,-0.1528200154336632
2011-02-28,Elastic Net,0.04304159501994088,0.8836439623710409,-0.11635603762895907
2011-03-31,Elastic Net,-0.0020600212084292626,0.881823637067856,-0.11817636293214395
2011-04-29,Elastic Net,0.015635290745684087,0.8956112060198286,-0.10438879398017142
2011-05-31,Elastic Net,-0.008147326049533075,0.8883143695107695,-0.11168563048923053
2011-06-30,Elastic Net,-0.061941402987582585,0.8332909311692426,-0.16670906883075742
2011-07-29,Elastic Net,-0.02672887786519991,0.8110179996438411,-0.18898200035615886
2011-08-31,Elastic Net,-0.11367989394731005,0.7188215594549697,-0.2811784405450303
2011-09-30,Elastic Net,-0.13180115315247568,0.6240800490079439,-0.3759199509920561
2011-10-31,Elastic Net,0.22597035922139963,0.7651036418651775,-0.23489635813482246
2011-11-30,Elastic Net,-0.05824177664944802,0.7205426464419865,-0.2794573535580135
2011-12-30,Elastic Net,-0.047390775451156976,0.6863955716814719,-0.3136044283185281
2012-01-31,Elastic Net,0.16199543480442785,0.7975885207638458,-0.2024114792361542
2012-02-29,Elastic Net,0.09638279316423486,0.8744623301907957,-0.12553766980920433
2012-03-30,Elastic Net,-0.05166177300686154,0.8292860557854276,-0.17071394421457242
2012-04-30,Elastic Net,-0.04064774666114386,0.7955774462802423,-0.2044225537197577
2012-05-31,Elastic Net,-0.16066717909731698,0.6677542622329485,-0.33224573776705146
2012-06-29,Elastic Net,0.015073601239350564,0.6778197237077248,-0.3221802762922752
2012-07-31,Elastic Net,-0.07057270904409176,0.6299841495621529,-0.3700158504378471
2012-08-31,Elastic Net,0.06788072584495337,0.6727479309052475,-0.32725206909475246
2012-09-28,Elastic Net,0.03520606518218153,0.6964327384118755,-0.3035672615881245
2012-10-31,Elastic Net,-0.02554774857679877,0.6786404499102774,-0.3213595500897226
2012-11-30,Elastic Net,0.05297880402166017,0.7145940093072453,-0.28540599069275474
2012-12-31,Elastic Net,0.0704183158427477,0.7649145159539782,-0.2350854840460218
2013-01-31,Elastic Net,0.16447133241110679,0.8907210255735258,-0.10927897442647416
2013-02-28,Elastic Net,-0.010541443656023962,0.8813315400692067,-0.11866845993079334
2013-03-28,Elastic Net,0.05074587057161119,0.9260554763322375,-0.0739445236677625
2013-04-30,Elastic Net,0.01278773605935573,0.9378976293398952,-0.06210237066010482
2013-05-31,Elastic Net,0.017609068714481292,0.9544131331420904,-0.04558686685790958
2013-06-28,Elastic Net,-0.04316233836303758,0.9132184305512846,-0.0867815694487154
2013-07-31,Elastic Net,0.07778580887903469,0.9842538648549588,-0.015746135145041196
2013-08-30,Elastic Net,-0.01241435799282405,0.9720349850208286,-0.027965014979171365
2013-09-30,Elastic Net,0.040468729210609254,1.011372005612875,0.011372005612874991
2013-10-31,Elastic Net,0.03634231553565809,1.0481276061647895,0.048127606164789505
2013-11-29,Elastic Net,0.027569938802618786,1.077024420124088,0.07702442012408794
2013-12-31,Elastic Net,0.046927399231149365,1.1275663750689482,0.1275663750689482
2014-01-31,Elastic Net,-0.023793472746286293,1.1007376552541164,0.10073765525411638
2014-02-28,Elastic Net,-0.007758276329312502,1.0921978283585754,0.09219782835857537
2014-03-31,Elastic Net,-0.05262555181880245,1.0347203149459077,0.03472031494590766
2014-04-30,Elastic Net,-0.04914262811181303,0.9838714393087828,-0.016128560691217153
2014-05-30,Elastic Net,-0.02196784508784465,0.9622579039436927,-0.037742096056307295
2014-06-30,Elastic Net,0.04545076232103469,1.0059932592273746,0.005993259227374592
2014-07-31,Elastic Net,0.018647510186843574,1.024752528776713,0.024752528776712968
2014-08-29,Elastic Net,0.06338263583364195,1.089704045127771,0.08970404512777108
2014-09-30,Elastic Net,-0.023318395494774994,1.0642938952312255,0.06429389523122553
2014-10-31,Elastic Net,0.0724133300090753,1.1413629602932485,0.14136296029324846
2014-11-28,Elastic Net,0.027589428914024897,1.17285251255136,0.17285251255136003
2014-12-31,Elastic Net,0.04723042094767289,1.2282468304286964,0.22824683042869642
2015-01-30,Elastic Net,-0.015739634723249425,1.2089146739677599,0.20891467396775987
2015-02-27,Elastic Net,0.08542062891601088,1.3121809257238801,0.3121809257238801
2015-03-31,Elastic Net,-0.02245969094202123,1.2827097476721063,0.2827097476721063
2015-04-30,Elastic Net,0.07405049274820756,1.3776950365401548,0.3776950365401548
2015-05-29,Elastic Net,-0.05686257448631055,1.2993557499054698,0.29935574990546976
2015-06-30,Elastic Net,-0.03118903239270668,1.2588301013320184,0.25883010133201845
2015-07-31,Elastic Net,-0.11434135760737425,1.1148937585486869,0.11489375854868689
2015-08-31,Elastic Net,-0.08301053724912104,1.0223458286758687,0.02234582867586865
2015-09-30,Elastic Net,-0.11871755749534019,0.90097542897992,-0.09902457102008
2015-10-30,Elastic Net,0.10724537373191567,0.9976008755841446,-0.002399124415855436
2015-11-30,Elastic Net,0.04203352323058248,1.03953355516286,0.039533555162859946
2015-12-31,Elastic Net,-0.048727521178273,0.9888796618381364,-0.011120338161863641
2016-01-29,Elastic Net,-0.15862360905860343,0.8320200009527199,-0.16797999904728012
2016-02-29,Elastic Net,0.06417800730807857,0.8854173866543311,-0.11458261334566888
2016-03-31,Elastic Net,0.12887730615118595,0.9995275942657642,-0.00047240573423579235
2016-04-29,Elastic Net,0.0656970426282926,1.0651936012343968,0.06519360123439677
2016-05-31,Elastic Net,0.003626534565511326,1.069056562648235,0.0690565626482349
2016-06-30,Elastic Net,0.018158548950133146,1.088469078571544,0.08846907857154407
2016-07-29,Elastic Net,0.06489577219738445,1.1591061199384198,0.15910611993841983
2016-08-31,Elastic Net,0.04311093698898252,1.2090762708386291,0.20907627083862912
2016-09-30,Elastic Net,0.0007869636068734724,1.2100277698617135,0.21002776986171345
2016-10-31,Elastic Net,-0.0376610268057471,1.164456881585253,0.16445688158525296
2016-11-30,Elastic Net,0.030869261683433544,1.200402805781983,0.2004028057819831
2016-12-30,Elastic Net,0.0030182926359545526,1.204025972730854,0.204025972730854
2017-01-31,Elastic Net,-0.0023363561982457266,1.2012129391866155,0.20121293918661554
2017-02-28,Elastic Net,0.004693133461448084,1.2068503918258366,0.20685039182583664
2017-03-31,Elastic Net,-0.008080539497602733,1.1970983895669907,0.19709838956699066
2017-04-28,Elastic Net,0.003534794155890311,1.2013298859584578,0.2013298859584578
2017-05-31,Elastic Net,-0.04786964866574268,1.1438226463859698,0.14382264638596975
2017-06-30,Elastic Net,0.047156564794230624,1.1977613931233781,0.19776139312337815
2017-07-31,Elastic Net,-0.011342374350987743,1.1841759350194123,0.18417593501941232
2017-08-31,Elastic Net,-0.04181460395136721,1.1346600872878356,0.13466008728783563
2017-09-29,Elastic Net,0.018369987223247383,1.155503778594042,0.15550377859404207
2017-10-31,Elastic Net,-0.015488972112757203,1.1376062127912134,0.13760621279121343
2017-11-30,Elastic Net,0.11581174364341676,1.2693543718741476,0.26935437187414757
2017-12-29,Elastic Net,0.022862885001221297,1.2983754749041039,0.2983754749041039
2018-01-31,Elastic Net,0.041397770466988365,1.352125324794151,0.35212532479415093
2018-02-28,Elastic Net,-0.04145915566758007,1.296067350471433,0.29606735047143307
2018-03-29,Elastic Net,0.008788804103213768,1.3074582325192978,0.3074582325192978
2018-04-30,Elastic Net,0.025841892440447607,1.3412454275344392,0.3412454275344392
2018-05-31,Elastic Net,0.016643459218884007,1.3635683911101233,0.3635683911101233
2018-06-29,Elastic Net,0.008236897953420893,1.3747999648002076,0.3747999648002076
2018-07-31,Elastic Net,0.003840148244966978,1.380079400472216,0.3800794004722159
2018-08-31,Elastic Net,0.018879870818696916,1.4061351212726763,0.40613512127267626
2018-09-28,Elastic Net,-0.010020928181395163,1.3920443422090654,0.39204434220906537
2018-10-31,Elastic Net,-0.0879429541396212,1.2696238504618544,0.26962385046185444
2018-11-30,Elastic Net,0.06247501568491447,1.3489436204334004,0.34894362043340044
2018-12-31,Elastic Net,-0.1253284525786615,1.179882603868625,0.17988260386862498
2019-01-31,Elastic Net,0.15825543418115276,1.3666054376266434,0.36660543762664344
2019-02-28,Elastic Net,0.03573422896394422,1.415440029238165,0.41544002923816503
2019-03-29,Elastic Net,-0.006291508230522079,1.4065347766444027,0.40653477664440274
2019-04-30,Elastic Net,0.05578966762557315,1.4850048843372037,0.4850048843372037
2019-05-31,Elastic Net,-0.09742544467724731,1.3403276231327674,0.34032762313276743
2019-06-28,Elastic Net,0.16796524521464073,1.5654560810202194,0.5654560810202194
2019-07-31,Elastic Net,0.006823800829093377,1.5761384415237942,0.5761384415237942
2019-08-30,Elastic Net,-0.10543026104359611,1.409965754193094,0.4099657541930939
2019-09-30,Elastic Net,0.0213724877624988,1.4401002300201282,0.4401002300201282
2019-10-31,Elastic Net,0.061335304590209964,1.528429216268844,0.528429216268844
2019-11-29,Elastic Net,0.09249806797193436,1.6698059658055697,0.6698059658055697
2019-12-31,Elastic Net,0.047385591705182625,1.7489307095281106,0.7489307095281106
2020-01-31,Elastic Net,-0.0008011288477264202,1.747529590684033,0.7475295906840329
2020-02-28,Elastic Net,-0.13215894196838845,1.5165779289207804,0.5165779289207804
2020-03-31,Elastic Net,-0.3336430397746435,1.010582258660518,0.010582258660517985
2020-04-30,Elastic Net,0.17925501425687093,1.19173419584445,0.19173419584445006
2020-05-29,Elastic Net,0.01203441230130911,1.2060760165108113,0.2060760165108113
2020-06-30,Elastic Net,0.13169539801653382,1.3649106775433983,0.36491067754339834
2020-07-31,Elastic Net,-0.03137563959178667,1.3220857320498154,0.3220857320498154
2020-08-31,Elastic Net,0.06375447709188721,1.4063746165672963,0.40637461656729634
2020-09-30,Elastic Net,-0.011974449818156775,1.3895340542956818,0.3895340542956818
2020-10-30,Elastic Net,-0.05571242754475318,1.3121197389747665,0.3121197389747665
2020-11-30,Elastic Net,0.252476000372717,1.6433984826812091,0.6433984826812091
2020-12-31,Elastic Net,0.051026537488057994,1.7272554169655596,0.7272554169655596
2021-01-29,Elastic Net,0.13721094942096185,1.9642537726199034,0.9642537726199034
2021-02-26,Elastic Net,-0.06281927325238965,1.8408607781406565,0.8408607781406565
2021-03-31,Elastic Net,-0.028386719900294146,1.78860477885614,0.7886047788561401
2021-04-30,Elastic Net,0.013510677852431645,1.8127700418285853,0.8127700418285853
2021-05-28,Elastic Net,0.013831019261557402,1.8378424991938906,0.8378424991938906
2021-06-30,Elastic Net,0.05737372219633288,1.943286364183255,0.943286364183255
2021-07-30,Elastic Net,-0.06408741550169854,1.8187461635230577,0.8187461635230577
2021-08-31,Elastic Net,0.10176258115204423,2.0038264675835418,1.0038264675835418
2021-09-30,Elastic Net,-0.05047960618626687,1.9026740966343063,0.9026740966343063
2021-10-29,Elastic Net,0.05291589885381852,2.003355806683588,1.003355806683588
2021-11-30,Elastic Net,0.05088806891461606,2.1053027150345986,1.1053027150345986
