cost_convention,cost_bps,avg_turnover,n_periods,periods_per_year,mean_period_return,std_period_return,annual_return,annual_volatility,sharpe,max_drawdown,cumulative_return,experiment,pipeline,model_type,model,spec
one_way,0.0,0.4684,300.0,12.0,0.0083207241539726,0.0768094603827592,0.0661902568203529,0.2660757757697755,0.3083729909610696,-0.6614288176604753,3.9644110910958865,macroext_twostep_elasticnet_supervisor_v1,twostep,elasticnet,Elastic Net,Step 1 macro+interactions
one_way,0.0,0.5630310636739987,300.0,12.0,0.0061431339310033,0.0874308514333876,0.0273982201050901,0.3028693536632671,0.1848181223702334,-0.7353871180887149,0.965487223697594,macroext_twostep_elasticnet_supervisor_constrained_v1,twostep,elasticnet,Elastic Net,Step 2 constrained
one_way,0.0,0.6741061224489796,300.0,12.0,0.0093382053579702,0.0570875617700314,0.0962371040564358,0.1977571149318422,0.4758304538184094,-0.4878258062685255,8.945175146488552,macroext_twostep_random_forest_supervisor_v1,twostep,random_forest,Random Forest,Step 1 macro main effects
one_way,0.0,0.7339378844017652,300.0,12.0,0.0092639651911768,0.0645881626929346,0.089428639679628,0.2237399587033749,0.4168708096171639,-0.5113820132747058,7.510786642278209,macroext_twostep_random_forest_supervisor_constrained_v1,twostep,random_forest,Random Forest,Step 2 constrained
one_way,0.0,0.4958630502223968,300.0,12.0,0.0087934238836169,0.0627642944455146,0.0850133895874023,0.217421893761689,0.4030506416661862,-0.610846757888794,6.689141750335693,macroext_onestep_torch_supervisor_v1,onestep,torch_linear_policy,Torch,Gamma 0.10
one_way,0.0,0.5119360089302063,300.0,12.0,0.0088659143075346,0.064051367342472,0.0847632884979248,0.2218804450628391,0.3990098064017581,-0.6805031299591064,6.6449480056762695,macroext_onestep_torch_supervisor_ra050_v1,onestep,torch_linear_policy,Torch,Gamma 0.50
one_way,0.0,0.531181812286377,300.0,12.0,0.0088154375553131,0.0646876692771911,0.0836739540100097,0.2240846596226147,0.392380629513693,-0.6751667857170105,6.455309867858887,macroext_onestep_torch_supervisor_ra100_v1,onestep,torch_linear_policy,Torch,Gamma 1.0
one_way,0.0,0.534894585609436,300.0,12.0,0.0099127078428864,0.0630097910761833,0.099361777305603,0.2182723190364991,0.4629737983620903,-0.5879757404327393,9.678645133972168,macroext_onestep_torch_supervisor_ra200_v1,onestep,torch_linear_policy,Torch,Gamma 2.0
one_way,0.0,0.5316480398178101,300.0,12.0,0.0114426156505942,0.0599237196147441,0.1219568252563476,0.2075818539024972,0.5755585249338004,-0.5789995193481445,16.758394241333008,macroext_onestep_torch_supervisor_ra300_v1,onestep,torch_linear_policy,Torch,Gamma 3.0
one_way,0.0,0.5338844060897827,300.0,12.0,0.0121668949723243,0.0558089017868042,0.1348301172256469,0.1933277068187327,0.6630598056560957,-0.5657714009284973,22.619535446166992,macroext_onestep_torch_supervisor_ra500_v1,onestep,torch_linear_policy,Torch,Gamma 5.0
