date,model,rolling_12m_annual_return
2007-04-30,Elastic Net (Step 2 constrained),0.10039101902443837
2007-05-31,Elastic Net (Step 2 constrained),0.17378711749097353
2007-06-29,Elastic Net (Step 2 constrained),0.1867842646672404
2007-07-31,Elastic Net (Step 2 constrained),0.14982703689395982
2007-08-31,Elastic Net (Step 2 constrained),0.07389316315536276
2007-09-28,Elastic Net (Step 2 constrained),0.041847398899625965
2007-10-31,Elastic Net (Step 2 constrained),-0.019073597812723442
2007-11-30,Elastic Net (Step 2 constrained),-0.15953157053425004
2007-12-31,Elastic Net (Step 2 constrained),-0.21676432862256023
2008-01-31,Elastic Net (Step 2 constrained),-0.1793036782938291
2008-02-29,Elastic Net (Step 2 constrained),-0.2368336743608206
2008-03-31,Elastic Net (Step 2 constrained),-0.28470508784116877
2008-04-30,Elastic Net (Step 2 constrained),-0.25834116635621696
2008-05-30,Elastic Net (Step 2 constrained),-0.24472239260980122
2008-06-30,Elastic Net (Step 2 constrained),-0.3353780246608751
2008-07-31,Elastic Net (Step 2 constrained),-0.3036568614282228
2008-08-29,Elastic Net (Step 2 constrained),-0.2766268951852353
2008-09-30,Elastic Net (Step 2 constrained),-0.45618515945919524
2008-10-31,Elastic Net (Step 2 constrained),-0.5345625565079082
2008-11-28,Elastic Net (Step 2 constrained),-0.4980736649883023
2008-12-31,Elastic Net (Step 2 constrained),-0.47329751998823155
2009-01-30,Elastic Net (Step 2 constrained),-0.552462319476801
2009-02-27,Elastic Net (Step 2 constrained),-0.5962161293854423
2009-03-31,Elastic Net (Step 2 constrained),-0.521982702004237
2009-04-30,Elastic Net (Step 2 constrained),-0.46747167914409515
2009-05-29,Elastic Net (Step 2 constrained),-0.3749840828235508
2009-06-30,Elastic Net (Step 2 constrained),-0.2935797666697417
2009-07-31,Elastic Net (Step 2 constrained),-0.2375402431763517
2009-08-31,Elastic Net (Step 2 constrained),-0.15155140524312471
2009-09-30,Elastic Net (Step 2 constrained),0.24714225145753943
2009-10-30,Elastic Net (Step 2 constrained),0.33432408729090124
2009-11-30,Elastic Net (Step 2 constrained),0.398693821827967
2009-12-31,Elastic Net (Step 2 constrained),0.48437547265021874
2010-01-29,Elastic Net (Step 2 constrained),0.6375184035145314
2010-02-26,Elastic Net (Step 2 constrained),1.009807556488108
2010-03-31,Elastic Net (Step 2 constrained),0.9654405260495342
2010-04-30,Elastic Net (Step 2 constrained),0.7227032172109418
2010-05-28,Elastic Net (Step 2 constrained),0.2878205314458002
2010-06-30,Elastic Net (Step 2 constrained),0.21330061873795536
2010-07-30,Elastic Net (Step 2 constrained),0.24641975479389866
2010-08-31,Elastic Net (Step 2 constrained),0.017615355593953996
2010-09-30,Elastic Net (Step 2 constrained),0.014581745306682325
2010-10-29,Elastic Net (Step 2 constrained),0.1637573180964742
2010-11-30,Elastic Net (Step 2 constrained),0.18979293141197995
2010-12-31,Elastic Net (Step 2 constrained),0.19093712592562073
2011-01-31,Elastic Net (Step 2 constrained),0.2555451496396788
2011-02-28,Elastic Net (Step 2 constrained),0.26364963525576957
2011-03-31,Elastic Net (Step 2 constrained),0.1735150881761529
2011-04-29,Elastic Net (Step 2 constrained),0.14777127582199823
2011-05-31,Elastic Net (Step 2 constrained),0.2336280078362114
2011-06-30,Elastic Net (Step 2 constrained),0.2553969466455559
2011-07-29,Elastic Net (Step 2 constrained),0.12327848358745008
2011-08-31,Elastic Net (Step 2 constrained),0.07385576346738665
2011-09-30,Elastic Net (Step 2 constrained),-0.1440527790192465
2011-10-31,Elastic Net (Step 2 constrained),0.020025806017592185
2011-11-30,Elastic Net (Step 2 constrained),-0.06130810098605133
2011-12-30,Elastic Net (Step 2 constrained),-0.1400047990701906
2012-01-31,Elastic Net (Step 2 constrained),-0.05853710510863419
2012-02-29,Elastic Net (Step 2 constrained),-0.010390646653215874
2012-03-30,Elastic Net (Step 2 constrained),-0.05957833185002892
2012-04-30,Elastic Net (Step 2 constrained),-0.11169328729610772
2012-05-31,Elastic Net (Step 2 constrained),-0.24829059941841558
2012-06-29,Elastic Net (Step 2 constrained),-0.18657494237140726
2012-07-31,Elastic Net (Step 2 constrained),-0.22321804221507957
2012-08-31,Elastic Net (Step 2 constrained),-0.06409605825492548
2012-09-28,Elastic Net (Step 2 constrained),0.11593495020221445
2012-10-31,Elastic Net (Step 2 constrained),-0.11300846999514935
2012-11-30,Elastic Net (Step 2 constrained),-0.008255773845053382
2012-12-31,Elastic Net (Step 2 constrained),0.11439313933823514
2013-01-31,Elastic Net (Step 2 constrained),0.11676760934383457
2013-02-28,Elastic Net (Step 2 constrained),0.00785535253063685
2013-03-28,Elastic Net (Step 2 constrained),0.11669003701642855
2013-04-30,Elastic Net (Step 2 constrained),0.17888916248829956
2013-05-31,Elastic Net (Step 2 constrained),0.4292879688263824
2013-06-28,Elastic Net (Step 2 constrained),0.34728807470504286
2013-07-31,Elastic Net (Step 2 constrained),0.5623470297451572
2013-08-30,Elastic Net (Step 2 constrained),0.44487250033286796
2013-09-30,Elastic Net (Step 2 constrained),0.45221778045526384
2013-10-31,Elastic Net (Step 2 constrained),0.5444520088706206
2013-11-29,Elastic Net (Step 2 constrained),0.507183668063768
2013-12-31,Elastic Net (Step 2 constrained),0.47410769641713735
2014-01-31,Elastic Net (Step 2 constrained),0.235782723940263
2014-02-28,Elastic Net (Step 2 constrained),0.23925875644120342
2014-03-31,Elastic Net (Step 2 constrained),0.11734160791754222
2014-04-30,Elastic Net (Step 2 constrained),0.04901794026416839
2014-05-30,Elastic Net (Step 2 constrained),0.00821947071890805
2014-06-30,Elastic Net (Step 2 constrained),0.10159106033381815
2014-07-31,Elastic Net (Step 2 constrained),0.041146563267721925
2014-08-29,Elastic Net (Step 2 constrained),0.12105434672644111
2014-09-30,Elastic Net (Step 2 constrained),0.05232682862947269
2014-10-31,Elastic Net (Step 2 constrained),0.08895420135876142
2014-11-28,Elastic Net (Step 2 constrained),0.08897485575696762
2014-12-31,Elastic Net (Step 2 constrained),0.08929004765115667
2015-01-30,Elastic Net (Step 2 constrained),0.09827684026006178
2015-02-27,Elastic Net (Step 2 constrained),0.2014132345382056
2015-03-31,Elastic Net (Step 2 constrained),0.23966808145557983
2015-04-30,Elastic Net (Step 2 constrained),0.40027952992319005
2015-05-29,Elastic Net (Step 2 constrained),0.35031964360097656
2015-06-30,Elastic Net (Step 2 constrained),0.2513305529490608
2015-07-31,Elastic Net (Step 2 constrained),0.08796390078644567
2015-08-31,Elastic Net (Step 2 constrained),-0.06181331229618825
2015-09-30,Elastic Net (Step 2 constrained),-0.153452412893737
2015-10-30,Elastic Net (Step 2 constrained),-0.12595650087695798
2015-11-30,Elastic Net (Step 2 constrained),-0.11367069257368523
2015-12-31,Elastic Net (Step 2 constrained),-0.19488523207262287
2016-01-29,Elastic Net (Step 2 constrained),-0.31176284077853056
2016-02-29,Elastic Net (Step 2 constrained),-0.3252322379508146
2016-03-31,Elastic Net (Step 2 constrained),-0.22076869215367545
2016-04-29,Elastic Net (Step 2 constrained),-0.2268291799109271
2016-05-31,Elastic Net (Step 2 constrained),-0.17724105755793917
2016-06-30,Elastic Net (Step 2 constrained),-0.13533281622373716
2016-07-29,Elastic Net (Step 2 constrained),0.039656120639949055
2016-08-31,Elastic Net (Step 2 constrained),0.18264899892496445
2016-09-30,Elastic Net (Step 2 constrained),0.3430197216717681
2016-10-31,Elastic Net (Step 2 constrained),0.16725727701813242
2016-11-30,Elastic Net (Step 2 constrained),0.15475137846216103
2016-12-30,Elastic Net (Step 2 constrained),0.2175657152183743
2017-01-31,Elastic Net (Step 2 constrained),0.44373084518538564
2017-02-28,Elastic Net (Step 2 constrained),0.3630299224031326
2017-03-31,Elastic Net (Step 2 constrained),0.19766417299000083
2017-04-28,Elastic Net (Step 2 constrained),0.12780426447013937
2017-05-31,Elastic Net (Step 2 constrained),0.06993650883403868
2017-06-30,Elastic Net (Step 2 constrained),0.10040920472932924
2017-07-31,Elastic Net (Step 2 constrained),0.021628576236250696
2017-08-31,Elastic Net (Step 2 constrained),-0.06154796462854839
2017-09-29,Elastic Net (Step 2 constrained),-0.04506011566486823
2017-10-31,Elastic Net (Step 2 constrained),-0.02305853417044179
2017-11-30,Elastic Net (Step 2 constrained),0.057440357320097446
2017-12-29,Elastic Net (Step 2 constrained),0.07836168347702266
2018-01-31,Elastic Net (Step 2 constrained),0.12563333334531301
2018-02-28,Elastic Net (Step 2 constrained),0.07392545028768649
2018-03-29,Elastic Net (Step 2 constrained),0.09218945068686102
2018-04-30,Elastic Net (Step 2 constrained),0.11646721122262904
2018-05-31,Elastic Net (Step 2 constrained),0.19211522469717046
2018-06-29,Elastic Net (Step 2 constrained),0.14780787951026642
2018-07-31,Elastic Net (Step 2 constrained),0.16543442545941645
2018-08-31,Elastic Net (Step 2 constrained),0.23925670518097064
2018-09-28,Elastic Net (Step 2 constrained),0.20470773700353728
2018-10-31,Elastic Net (Step 2 constrained),0.11604862577774133
2018-11-30,Elastic Net (Step 2 constrained),0.06270057465650236
2018-12-31,Elastic Net (Step 2 constrained),-0.09126240700459232
2019-01-31,Elastic Net (Step 2 constrained),0.01070914993378791
2019-02-28,Elastic Net (Step 2 constrained),0.09210376198683723
2019-03-29,Elastic Net (Step 2 constrained),0.07577798025272142
2019-04-30,Elastic Net (Step 2 constrained),0.10718355779749555
2019-05-31,Elastic Net (Step 2 constrained),-0.017044079438094828
2019-06-28,Elastic Net (Step 2 constrained),0.1386791686801636
2019-07-31,Elastic Net (Step 2 constrained),0.14206359502539723
2019-08-30,Elastic Net (Step 2 constrained),0.0027242281786905576
2019-09-30,Elastic Net (Step 2 constrained),0.0345218082168286
2019-10-31,Elastic Net (Step 2 constrained),0.2038441273081344
2019-11-29,Elastic Net (Step 2 constrained),0.23786193915879128
2019-12-31,Elastic Net (Step 2 constrained),0.48229213973803686
2020-01-31,Elastic Net (Step 2 constrained),0.2787374779650613
2020-02-28,Elastic Net (Step 2 constrained),0.0714533272999569
2020-03-31,Elastic Net (Step 2 constrained),-0.2815092271863455
2020-04-30,Elastic Net (Step 2 constrained),-0.1974880295586693
2020-05-29,Elastic Net (Step 2 constrained),-0.10016327672794523
2020-06-30,Elastic Net (Step 2 constrained),-0.12810669421407472
2020-07-31,Elastic Net (Step 2 constrained),-0.16118679855835738
2020-08-31,Elastic Net (Step 2 constrained),-0.0025469679778519216
2020-09-30,Elastic Net (Step 2 constrained),-0.03511295580012497
2020-10-30,Elastic Net (Step 2 constrained),-0.1415240398388392
2020-11-30,Elastic Net (Step 2 constrained),-0.015814701627096528
2020-12-31,Elastic Net (Step 2 constrained),-0.012393454151422678
2021-01-29,Elastic Net (Step 2 constrained),0.12401746047174966
2021-02-26,Elastic Net (Step 2 constrained),0.21382537819908798
2021-03-31,Elastic Net (Step 2 constrained),0.7698754985337426
2021-04-30,Elastic Net (Step 2 constrained),0.5211194309516947
2021-05-28,Elastic Net (Step 2 constrained),0.5238197875045929
2021-06-30,Elastic Net (Step 2 constrained),0.42374618072505066
2021-07-30,Elastic Net (Step 2 constrained),0.37566431543225254
2021-08-31,Elastic Net (Step 2 constrained),0.42481700393207955
2021-09-30,Elastic Net (Step 2 constrained),0.369289288558474
2021-10-29,Elastic Net (Step 2 constrained),0.5268086800133984
2021-11-30,Elastic Net (Step 2 constrained),0.28106648340078255
2021-12-31,Elastic Net (Step 2 constrained),0.24255403027688893
2022-01-31,Elastic Net (Step 2 constrained),-0.07799081618342618
2022-02-28,Elastic Net (Step 2 constrained),0.046291108336353304
2022-03-31,Elastic Net (Step 2 constrained),0.1121451114764247
2022-04-29,Elastic Net (Step 2 constrained),-0.023385878518549008
2022-05-31,Elastic Net (Step 2 constrained),0.0027394176759589772
2022-06-30,Elastic Net (Step 2 constrained),-0.19866197568676092
2022-07-29,Elastic Net (Step 2 constrained),0.017756755835548255
2022-08-31,Elastic Net (Step 2 constrained),-0.08670593471409327
2022-09-30,Elastic Net (Step 2 constrained),-0.1367041211199106
2022-10-31,Elastic Net (Step 2 constrained),-0.16378716178372144
2022-11-30,Elastic Net (Step 2 constrained),-0.15600855804392388
2022-12-30,Elastic Net (Step 2 constrained),-0.2795649524007986
2023-01-31,Elastic Net (Step 2 constrained),-0.058204954908253725
2023-02-28,Elastic Net (Step 2 constrained),-0.13648474312257053
2023-03-31,Elastic Net (Step 2 constrained),-0.19083145523867162
2023-04-28,Elastic Net (Step 2 constrained),-0.13450588967434696
2023-05-31,Elastic Net (Step 2 constrained),-0.1761063671447961
2023-06-30,Elastic Net (Step 2 constrained),0.042157334051775575
2023-07-31,Elastic Net (Step 2 constrained),-0.09373681947004187
2023-08-31,Elastic Net (Step 2 constrained),-0.10702074028198771
2023-09-29,Elastic Net (Step 2 constrained),-0.12409019041639402
2023-10-31,Elastic Net (Step 2 constrained),-0.21992810804713947
2023-11-30,Elastic Net (Step 2 constrained),-0.1521523497293359
2023-12-29,Elastic Net (Step 2 constrained),0.12795816359196444
2024-01-31,Elastic Net (Step 2 constrained),-0.04312138113756092
2024-02-29,Elastic Net (Step 2 constrained),0.006238339196839249
2024-03-28,Elastic Net (Step 2 constrained),0.08657155570744224
2024-04-30,Elastic Net (Step 2 constrained),0.029932617555826102
2024-05-31,Elastic Net (Step 2 constrained),0.08691952330420549
2024-06-28,Elastic Net (Step 2 constrained),0.056797028984333586
2024-07-31,Elastic Net (Step 2 constrained),0.08714845579470953
2024-08-30,Elastic Net (Step 2 constrained),0.12328666765127383
2024-09-30,Elastic Net (Step 2 constrained),0.3481570072681188
2024-10-31,Elastic Net (Step 2 constrained),0.4361312213852413
2024-11-29,Elastic Net (Step 2 constrained),0.3046674001371348
1999-12-31,Random Forest (Step 2 constrained),
2000-01-31,Random Forest (Step 2 constrained),
2000-02-29,Random Forest (Step 2 constrained),
2000-03-31,Random Forest (Step 2 constrained),
2000-04-28,Random Forest (Step 2 constrained),
2000-05-31,Random Forest (Step 2 constrained),
2000-06-30,Random Forest (Step 2 constrained),
2000-07-31,Random Forest (Step 2 constrained),
2000-08-31,Random Forest (Step 2 constrained),
2000-09-29,Random Forest (Step 2 constrained),
2000-10-31,Random Forest (Step 2 constrained),
