date,Elastic Net (two-step),Random Forest (two-step),"Torch (one-step, v2)",EW benchmark
1999-12-31,0.04078924489795921,0.04759032653061235,0.08166334796060393,0.03353513480885306
2000-01-31,0.009822812419284954,-0.021315162370277307,0.08760374281094996,-0.01372368969662563
2000-02-29,-0.01569961421083066,0.04887984916543742,0.4009531034790288,-0.039373587573131696
2000-03-31,0.039864283181308746,0.008285287826010679,0.33557874465562576,0.05765303164375091
2000-04-28,0.050503877422738874,-0.02016130038141839,0.11121810144693267,0.06188761527869757
2000-05-31,0.08115168488090796,-0.005771029298073049,-0.05684758675865753,0.07153244163305361
2000-06-30,0.1054567690725543,0.0027091148200126813,0.06692288468840424,0.053037762470252714
2000-07-31,0.10278609832018626,-0.07287937511644638,0.013089286709482728,0.05181844877125252
2000-08-31,0.1764683688801909,0.0470998003318539,0.1964693549005876,0.1306577865465277
2000-09-29,0.19208901168145243,-0.09122819493571654,0.08900753479114165,0.12061398246223565
2000-10-31,0.2292781260119352,-0.0630745371466418,-0.049760338180379504,0.13922252772941257
2000-11-30,0.0663090871867722,-0.2136859745327926,-0.20243383571564688,0.09033126737806119
2000-12-29,0.1485202338856857,-0.14229819307202574,-0.16118581240210972,0.17224736139044317
2001-01-31,0.1633871251376826,-0.03890243279216199,-0.23241964934933523,0.20482085464341782
2001-02-28,-0.0534288935090762,-0.13080085611580172,-0.21346618544108809,0.16004253245888211
2001-03-30,-0.09849811882687243,-0.18545164585497242,-0.24949090409309094,0.11252644026170477
2001-04-30,-0.0030567034029957973,-0.07475982740268305,-0.21266140778884113,0.19537509147912502
2001-05-31,0.051389421891401055,-0.06825442598424625,-0.19743531072384313,0.22138919421196057
2001-06-29,0.06565252787492581,-0.07867445999713296,-0.18678437304734075,0.2012335342316891
2001-07-31,0.050749159792487175,-0.11076389010931609,-0.19442744814829327,0.2039806277385503
2001-08-31,-0.0102714464852105,-0.18098047772553272,-0.2156586934215432,0.1599549467228627
2001-09-28,-0.18259882132357252,-0.32243828696405785,-0.23451901774919726,0.04064241725563944
2001-10-31,-0.14160506790526373,-0.2601833360031329,-0.2641695135726083,0.06836677580069184
2001-11-30,-0.094294701295918,-0.16199754075643868,-0.24826159952904836,0.15146846231611644
2001-12-31,-0.055902593035116244,-0.12280276336615492,-0.2093781800857274,0.18773099929128279
2002-01-31,-0.07421176305779653,-0.1234286525454854,-0.22894526783519764,0.1917984600027982
2002-02-28,-0.11399343151469021,-0.19109427179982108,-0.2190132619739087,0.18374351934215216
2002-03-28,-0.046736238938569374,-0.1477345475759474,-0.20213723845693587,0.24865901286118208
2002-04-30,-0.08680462208506268,-0.19821736665988887,-0.2029014017316768,0.21827112019008887
2002-05-31,-0.07834867516189503,-0.1990906552137942,-0.2119211915185346,0.2122928456420894
2002-06-28,-0.14747459353793113,-0.2968770442070079,-0.2540574740809337,0.12806854407289836
2002-07-31,-0.24107403645403136,-0.3788343043362218,-0.31444870597424246,0.027141781900436257
2002-08-30,-0.22342030338543428,-0.36359376313294334,-0.3013503615855214,0.035956749723912385
2002-09-30,-0.30096590196479067,-0.449810694422512,-0.3107576059644941,-0.06097563071511969
2002-10-31,-0.27435796592195216,-0.4222473436030494,-0.305078408708473,-0.010297918456002253
2002-11-29,-0.22607679563274619,-0.29667835723519587,-0.3193405795259834,0.05554370176925305
2002-12-31,-0.26833668267500677,-0.3201216034133585,-0.32151216054685705,0.009411447736045186
2003-01-31,-0.28285465978736246,-0.34493101823306305,-0.3298211583700156,-0.017707477087839485
2003-02-28,-0.2788680488411204,-0.3806949103552708,-0.32360770189833454,-0.035139665400210185
2003-03-31,-0.27105255320726784,-0.3766015564903068,-0.31885940760683673,-0.02682380154723074
2003-04-30,-0.2267953866874789,-0.30710876206400395,-0.2944278321996382,0.04711000380825059
2003-05-30,-0.1596299009297204,-0.23644341769361588,-0.24904852457868942,0.13073242651125816
2003-06-30,-0.16326937232469196,-0.2273843642421095,-0.22358446102597707,0.13788965912749696
2003-07-31,-0.12633592873388655,-0.21184141898257758,-0.1900734907363364,0.17206803807716997
2003-08-29,-0.09541201231313534,-0.18806929512536252,-0.16789359480031607,0.21537352355914652
2003-09-30,-0.10235653429460745,-0.19532197981695398,-0.16870657185058824,0.2002503269621192
2003-10-31,-0.03716259238457209,-0.11405442440794977,-0.12091083575512573,0.2879897036878438
2003-11-28,-0.01994886731276535,-0.08208641627133506,-0.09666597062830806,0.3176980224933117
2003-12-31,0.01361976407986365,-0.08184897638003386,-0.08573226726084326,0.37034768212757263
2004-01-30,0.023750914307959725,-0.07382875854872939,-0.06012213768684227,0.39100119165725444
2004-02-27,0.056895414266326716,-0.06688443998905125,-0.06935785789996907,0.42010091144814843
2004-03-31,0.057806859733681826,-0.06665196357843017,-0.08007550535741736,0.4106946260516422
2004-04-30,0.04515173339752021,-0.13393578540931894,-0.1497966426280467,0.38020769739379934
2004-05-28,0.06765556426641162,-0.11208583401812633,-0.13146802570160654,0.40724945811121827
2004-06-30,0.08853510624965377,-0.07489592209992524,-0.09707622498040003,0.4374211950586624
2004-07-30,0.03877014692719927,-0.1329008917680129,-0.14051836751008484,0.3811814574111638
2004-08-31,0.04884943965978761,-0.1325262518655561,-0.1411203549029475,0.3846682079827961
2004-09-30,0.08704361308135788,-0.07385647067216272,-0.09375051467594608,0.4247429909595064
2004-10-29,0.11342570939133623,-0.05006711325741564,-0.060246369226611085,0.4530924429320111
2004-11-30,0.16075575479751114,-0.007207886182280188,0.004263651003623359,0.5278169763355105
2004-12-31,0.21396384677771008,0.02603450683084274,0.01899008633637811,0.587330654364034
2005-01-31,0.22397934581089474,0.013007888974199355,0.020673905903013656,0.5503639119679642
2005-02-28,0.2553719925518394,0.046259184084412874,0.105041266686275,0.5904312719513662
2005-03-31,0.23944601039645108,0.03020999524512291,0.12083138040414121,0.5729560579439106
2005-04-29,0.1966282097005616,-0.008329698133733965,0.06729624896636754,0.5296195708092304
2005-05-31,0.2620352135984325,0.058936210778532505,0.09248738040797755,0.5923410981803698
2005-06-30,0.3090408998966576,0.09792656622354423,0.13030259158899726,0.6198332597413658
2005-07-29,0.3882769585615595,0.16782745027537227,0.1746302209467343,0.6994565019023844
2005-08-31,0.37875550353953935,0.15990171520212582,0.16356814209491755,0.6792506839806673
2005-09-30,0.38894914945882086,0.2087775353199952,0.19987110288619347,0.6956151589722932
2005-10-31,0.33352146124150694,0.14398488856106573,0.13176683027397074,0.6537998415928024
2005-11-30,0.3675476764907164,0.1906583280294687,0.1691552484328307,0.7207926876576647
2005-12-30,0.4074027603368191,0.21090177942687793,0.19701274341985386,0.7318468674076855
2006-01-31,0.4963290729111214,0.32291044114667633,0.28966950884836296,0.797219498149446
2006-02-28,0.46506422358981214,0.2590914055900464,0.24954513381149357,0.7984632034466215
2006-03-31,0.5126254114935946,0.3086883271691636,0.2755904188876612,0.8302388179859155
2006-04-28,0.5389376848760574,0.30753457151517627,0.2518146055739534,0.8540166891168433
2006-05-31,0.44688144762835824,0.22374231255916577,0.1769897847802151,0.7953377943225355
2006-06-30,0.4149126020430096,0.20491671036074788,0.17727047067849333,0.792405556160696
2006-07-31,0.36677730361975835,0.13585512582969028,0.13698841248733817,0.7715310361523373
2006-08-31,0.3899030919167614,0.1654207856949652,0.0708720228859443,0.8055580232896029
2006-09-29,0.43502779689117843,0.19230061009821098,0.10433860184522992,0.8436130449014827
2006-10-31,0.4734989592312475,0.23134519450174884,0.15241301568627286,0.9077725263123841
