fold_id,model_type,train_rows,valid_rows,train_dates,valid_dates,prediction_std,nonzero_coef_count,coef_l1_norm,intercept,selected_alpha
91,random_forest,59747,496,120,1,1.734723475976807e-18,,,,
92,random_forest,59745,499,120,1,0.0002285077657688134,,,,
93,random_forest,59747,497,120,1,6.829110626134381e-05,,,,
94,random_forest,59745,494,120,1,0.0004784922027570222,,,,
95,random_forest,59740,495,120,1,0.0007578410260344364,,,,
96,random_forest,59737,495,120,1,0.011657679393321732,,,,
97,random_forest,59734,499,120,1,0.0419056946418146,,,,
98,random_forest,59734,500,120,1,0.02633520625524982,,,,
99,random_forest,59734,498,120,1,0.02108550104596423,,,,
100,random_forest,59734,499,120,1,0.022004658372689855,,,,
101,random_forest,59737,499,120,1,0.0026538149059660452,,,,
102,random_forest,59737,499,120,1,0.020030252250379726,,,,
103,random_forest,59740,499,120,1,0.013475183677101094,,,,
104,random_forest,59744,499,120,1,0.032211996663642196,,,,
105,random_forest,59745,495,120,1,0.020973014083971134,,,,
106,random_forest,59743,498,120,1,0.039761255402533786,,,,
107,random_forest,59748,496,120,1,0.049976815944880404,,,,
108,random_forest,59748,497,120,1,0.03893392333358389,,,,
109,random_forest,59748,495,120,1,0.03255497571686672,,,,
110,random_forest,59747,499,120,1,0.01358730288210068,,,,
111,random_forest,59746,500,120,1,0.06142386390857197,,,,
112,random_forest,59749,499,120,1,0.019744465844197492,,,,
113,random_forest,59750,500,120,1,0.04700741416325011,,,,
114,random_forest,59753,500,120,1,0.0060286459467548004,,,,
115,random_forest,59757,500,120,1,0.006533337705084175,,,,
116,random_forest,59759,500,120,1,0.0025806253817955483,,,,
117,random_forest,59764,500,120,1,0.0034411861970810036,,,,
118,random_forest,59766,499,120,1,0.004224029940614848,,,,
119,random_forest,59771,498,120,1,7.609545769237717e-05,,,,
120,random_forest,59773,499,120,1,0.00021775471489532785,,,,
121,random_forest,59775,497,120,1,0.0012412007211722396,,,,
122,random_forest,59775,497,120,1,0.0003422824964354806,,,,
123,random_forest,59774,497,120,1,0.00017025834848261818,,,,
124,random_forest,59774,498,120,1,0.0002610488288771999,,,,
125,random_forest,59774,500,120,1,0.002350521368666362,,,,
126,random_forest,59778,498,120,1,0.002854752447025114,,,,
127,random_forest,59780,497,120,1,0.004637692484951425,,,,
128,random_forest,59781,499,120,1,0.008024858815521934,,,,
129,random_forest,59783,499,120,1,0.004225649099012679,,,,
130,random_forest,59786,497,120,1,0.006479618091592561,,,,
131,random_forest,59787,499,120,1,0.005216684532633822,,,,
132,random_forest,59791,500,120,1,0.0010476654031299874,,,,
133,random_forest,59794,500,120,1,0.00019733290184339265,,,,
134,random_forest,59798,499,120,1,0.0001863490128659187,,,,
135,random_forest,59800,498,120,1,0.0020768487441878707,,,,
136,random_forest,59800,498,120,1,0.0005309127155635207,,,,
137,random_forest,59799,500,120,1,3.469446951953614e-18,,,,
138,random_forest,59800,497,120,1,0.0012327366376749741,,,,
139,random_forest,59801,499,120,1,0.0023210769345073465,,,,
140,random_forest,59801,499,120,1,0.008148810180658501,,,,
141,random_forest,59803,498,120,1,0.004931115028322437,,,,
142,random_forest,59803,499,120,1,0.0004560516727550071,,,,
143,random_forest,59804,498,120,1,0.002278526140361579,,,,
144,random_forest,59805,498,120,1,0.003092251828997725,,,,
145,random_forest,59807,499,120,1,0.0011247042311013998,,,,
146,random_forest,59810,500,120,1,0.009077657990315029,,,,
147,random_forest,59811,498,120,1,0.0008648371858973258,,,,
148,random_forest,59810,498,120,1,0.00036358107841431907,,,,
149,random_forest,59808,497,120,1,0.0021283093528442066,,,,
150,random_forest,59808,500,120,1,0.007918456326310703,,,,
151,random_forest,59811,497,120,1,0.002659741010502012,,,,
152,random_forest,59809,498,120,1,0.003447901136252532,,,,
153,random_forest,59808,500,120,1,0.0004236842573873173,,,,
154,random_forest,59808,497,120,1,0.004460989450855988,,,,
155,random_forest,59805,500,120,1,0.0028572520395169694,,,,
156,random_forest,59807,498,120,1,0.006499464876387135,,,,
157,random_forest,59806,499,120,1,0.0013474259991510698,,,,
158,random_forest,59806,500,120,1,0.00021034796836896593,,,,
159,random_forest,59807,499,120,1,3.469446951953614e-18,,,,
160,random_forest,59808,500,120,1,0.000313257285673218,,,,
161,random_forest,59811,498,120,1,0.00029561310781734,,,,
162,random_forest,59809,498,120,1,3.705759083584062e-05,,,,
163,random_forest,59808,499,120,1,0.0,,,,
164,random_forest,59808,500,120,1,0.00015562690201092582,,,,
