feature,mean_importance,std_importance,fold_count,rank
macro_vix,0.38175792025870153,0.014272847255619068,2,1
macro_epu,0.18467492843950445,0.0037911901769395015,2,2
macro_term_spread,0.148603208338548,0.01336430368127656,2,3
macro_credit_spread,0.09046737780851438,0.009439070211934584,2,4
vol_12m,0.03904557518835028,0.00010704260445320058,2,5
ma_gap_12m,0.03678990787501317,0.0002764051931990721,2,6
mom_3_1,0.031723445459239,0.0003325309691511282,2,7
mom_12_1,0.020261694422306936,0.00020673874944186082,2,8
mom_6_1,0.01637991114417677,0.00021034625277144368,2,9
tsmom_12,0.009330915309018618,0.006763388170294313,2,10
reversal_1m,0.008586924791035538,0.00019621035440761935,2,11
ma_crossover_6_12,0.008515137207664808,0.00011576374536299075,2,12
log_volume,0.008079132539441944,0.00021187728526396427,2,13
abnormal_log_volume,0.005975609062536117,0.00019988647517779984,2,14
vol_3m,0.005240976881770381,1.4563260296214204e-06,2,15
vol_regime_3_12,0.004530927733441806,0.0001770287142841543,2,16
tsmom_sign_12,3.6407540736324334e-05,8.322307841921773e-06,2,17
