fold_id,feature,importance
0,mom_12_1,0.020115508050642567
0,mom_6_1,0.016231173882444907
0,mom_3_1,0.031488310555997705
0,tsmom_12,0.014113352948030603
0,tsmom_sign_12,4.229230104646921e-05
0,reversal_1m,0.008448183118894894
0,ma_gap_12m,0.03659445988854693
0,ma_crossover_6_12,0.008433279878303083
0,vol_3m,0.005242006659781545
0,vol_12m,0.03896988463686556
0,vol_regime_3_12,0.004405749529106744
0,log_volume,0.007929312674252398
0,abnormal_log_volume,0.005834267980470417
0,macro_vix,0.3918503473399896
0,macro_epu,0.18735570472238622
0,macro_credit_spread,0.08379294725355949
0,macro_term_spread,0.139153218579681
1,mom_12_1,0.0204078807939713
1,mom_6_1,0.01652864840590864
1,mom_3_1,0.031958580362480296
1,tsmom_12,0.004548477670006634
1,tsmom_sign_12,3.052278042617947e-05
1,reversal_1m,0.008725666463176181
1,ma_gap_12m,0.03698535586147941
1,ma_crossover_6_12,0.008596994537026531
1,vol_3m,0.005239947103759217
1,vol_12m,0.03912126573983501
1,vol_regime_3_12,0.004656105937776867
1,log_volume,0.00822895240463149
1,abnormal_log_volume,0.006116950144601815
1,macro_vix,0.3716654931774135
1,macro_epu,0.1819941521566227
1,macro_credit_spread,0.09714180836346926
1,macro_term_spread,0.158053198097415
2,mom_12_1,0.01954477936548947
2,mom_6_1,0.016733080890518125
2,mom_3_1,0.029026438921896183
2,tsmom_12,0.00426785503092531
2,tsmom_sign_12,0.00010997112499569611
2,reversal_1m,0.009252887247696693
2,ma_gap_12m,0.03640324870225197
2,ma_crossover_6_12,0.012500441594847067
2,vol_3m,0.004563775666283496
2,vol_12m,0.04021384086940061
2,vol_regime_3_12,0.005548519717694233
2,log_volume,0.006555050282074178
2,abnormal_log_volume,0.0063173377904269645
2,macro_vix,0.342899358016567
2,macro_epu,0.18265618244973075
2,macro_credit_spread,0.11653386544602919
2,macro_term_spread,0.16687336688317295
3,mom_12_1,0.019679412518641824
3,mom_6_1,0.017436263513141332
3,mom_3_1,0.03824143049699687
3,tsmom_12,0.003778233058950442
3,tsmom_sign_12,1.528129882581501e-05
3,reversal_1m,0.008486783971131302
3,ma_gap_12m,0.03808587122083644
3,ma_crossover_6_12,0.014899400007163865
3,vol_3m,0.0046910671803039655
3,vol_12m,0.03916232834147297
3,vol_regime_3_12,0.005297716605949201
3,log_volume,0.006407172528050725
3,abnormal_log_volume,0.005641455673109575
3,macro_vix,0.3082750339875745
3,macro_epu,0.1806838479763794
3,macro_credit_spread,0.13647769873360632
3,macro_term_spread,0.17274100288786542
4,mom_12_1,0.022359027520782906
4,mom_6_1,0.018948090939370197
4,mom_3_1,0.02703865950649558
4,tsmom_12,0.0037385152633054755
4,tsmom_sign_12,2.7479737949084698e-05
4,reversal_1m,0.01393876109540569
4,ma_gap_12m,0.06495377153974831
4,ma_crossover_6_12,0.010580817782426427
4,vol_3m,0.004907359971493141
4,vol_12m,0.04501503889832292
4,vol_regime_3_12,0.003841906495923507
4,log_volume,0.005282013682200465
4,abnormal_log_volume,0.005839204018303211
4,macro_vix,0.2911075050742352
4,macro_epu,0.13639828273657223
4,macro_credit_spread,0.16390851284311123
4,macro_term_spread,0.18211505289435456
5,mom_12_1,0.01843232071472024
5,mom_6_1,0.015014726044662951
5,mom_3_1,0.030344088758739143
5,tsmom_12,0.0038421420509475667
5,tsmom_sign_12,2.524986759962212e-05
5,reversal_1m,0.01719939706408402
5,ma_gap_12m,0.06297794776902171
5,ma_crossover_6_12,0.008406657402845023
5,vol_3m,0.005374367064959006
5,vol_12m,0.05204770272998001
5,vol_regime_3_12,0.0036991446667536056
5,log_volume,0.004736724248831549
5,abnormal_log_volume,0.006558088154099006
5,macro_vix,0.2960350450312246
5,macro_epu,0.15562098849028827
5,macro_credit_spread,0.14744788783091253
5,macro_term_spread,0.17223752211033122
6,mom_12_1,0.021910970152056338
6,mom_6_1,0.018185708367025818
6,mom_3_1,0.028398744961844493
6,tsmom_12,0.003170327921397226
6,tsmom_sign_12,7.265380168866199e-05
6,reversal_1m,0.014222100533671626
6,ma_gap_12m,0.0629758437976633
6,ma_crossover_6_12,0.015184131988312897
6,vol_3m,0.0044600473529553195
6,vol_12m,0.05533902436406223
6,vol_regime_3_12,0.00457397221098552
6,log_volume,0.005899400523367999
6,abnormal_log_volume,0.006871517278958881
6,macro_vix,0.3005672170516057
6,macro_epu,0.17873188865689288
6,macro_credit_spread,0.12191002278940681
6,macro_term_spread,0.1575264282481043
7,mom_12_1,0.02708815150079923
7,mom_6_1,0.016138159195281936
7,mom_3_1,0.02367600790054437
7,tsmom_12,0.004366976231293238
7,tsmom_sign_12,0.0
7,reversal_1m,0.011889025474444039
7,ma_gap_12m,0.05629962001471121
7,ma_crossover_6_12,0.014003918164479994
7,vol_3m,0.005407618154881457
7,vol_12m,0.050620674186159544
7,vol_regime_3_12,0.003508637588230675
7,log_volume,0.005640236593309201
7,abnormal_log_volume,0.005782011296016589
7,macro_vix,0.3700731990965914
7,macro_epu,0.18967222828317992
7,macro_credit_spread,0.11025856797336167
7,macro_term_spread,0.10557496834671554
8,mom_12_1,0.01855840923991269
8,mom_6_1,0.014140844418253194
8,mom_3_1,0.024769061134985403
8,tsmom_12,0.0041437717266812075
8,tsmom_sign_12,3.170604612910593e-05
8,reversal_1m,0.012620165041448679
8,ma_gap_12m,0.042664948021425626
8,ma_crossover_6_12,0.010698189349220734
8,vol_3m,0.005087351290542658
8,vol_12m,0.04781248858870433
8,vol_regime_3_12,0.003962689513071574
8,log_volume,0.00649276116701123
8,abnormal_log_volume,0.005947599517688333
8,macro_vix,0.4042550725571075
8,macro_epu,0.19050742666721054
8,macro_credit_spread,0.0949439575949698
8,macro_term_spread,0.11336355812563743
9,mom_12_1,0.049512620246619246
9,mom_6_1,0.01891766699757072
9,mom_3_1,0.020518740150384844
9,tsmom_12,0.005629138006141264
9,tsmom_sign_12,0.00020995182942764622
9,reversal_1m,0.02065225236715345
9,ma_gap_12m,0.07505218053637355
9,ma_crossover_6_12,0.025156804685464274
9,vol_3m,0.006000565626965543
9,vol_12m,0.0423685981932811
9,vol_regime_3_12,0.0037467452636774368
9,log_volume,0.005808547994128898
9,abnormal_log_volume,0.005786068208041672
9,macro_vix,0.34116027252402875
9,macro_epu,0.1206823590355902
9,macro_credit_spread,0.17075215093553972
9,macro_term_spread,0.08804533739961178
10,mom_12_1,0.023985557668644793
10,mom_6_1,0.02616189522684981
10,mom_3_1,0.014916703059451664
10,tsmom_12,0.0065580351450717405
10,tsmom_sign_12,6.234620573602262e-05
10,reversal_1m,0.013178503688234193
10,ma_gap_12m,0.028662110208105204
10,ma_crossover_6_12,0.007755196832264125
10,vol_3m,0.006696343603253304
10,vol_12m,0.034781155857568365
10,vol_regime_3_12,0.003034347734849547
10,log_volume,0.006286123536415206
10,abnormal_log_volume,0.00500094970366403
10,macro_vix,0.3783154523233382
10,macro_epu,0.2199863048040727
10,macro_credit_spread,0.09197618207656415
10,macro_term_spread,0.1326427923259169
11,mom_12_1,0.027371776910060885
11,mom_6_1,0.02844224333731624
11,mom_3_1,0.016981661690700294
11,tsmom_12,0.005447369255169757
11,tsmom_sign_12,0.0
11,reversal_1m,0.014209165675504813
11,ma_gap_12m,0.023500721450984672
11,ma_crossover_6_12,0.007374699701468441
11,vol_3m,0.005366585963064805
11,vol_12m,0.035298231599515464
11,vol_regime_3_12,0.002622535099089974
11,log_volume,0.006352052685726915
11,abnormal_log_volume,0.005666672735057995
11,macro_vix,0.35669127782250737
11,macro_epu,0.2607603677283875
11,macro_credit_spread,0.08297202047811782
11,macro_term_spread,0.12094261786732717
12,mom_12_1,0.04182992765431035
12,mom_6_1,0.01472774193504958
12,mom_3_1,0.02057976000495393
12,tsmom_12,0.008176025035356312
12,tsmom_sign_12,4.4866264864982466e-05
12,reversal_1m,0.011568024648873132
12,ma_gap_12m,0.015125879946234004
12,ma_crossover_6_12,0.01271694042617751
12,vol_3m,0.009929685110487148
12,vol_12m,0.08657749322536161
12,vol_regime_3_12,0.0035204270244348366
12,log_volume,0.01923317545683249
12,abnormal_log_volume,0.0071833553056854784
12,macro_vix,0.43148108542052416
12,macro_epu,0.19503744339573864
12,macro_credit_spread,0.055032383742813835
12,macro_term_spread,0.067235785402302
13,mom_12_1,0.03870242140286907
13,mom_6_1,0.015133751466757635
13,mom_3_1,0.017047181200101055
13,tsmom_12,0.008533683278731302
13,tsmom_sign_12,0.00014123047607114093
13,reversal_1m,0.009444982447247237
13,ma_gap_12m,0.0152887141708102
13,ma_crossover_6_12,0.008062608692570798
13,vol_3m,0.009232299167983392
13,vol_12m,0.08025281923076388
13,vol_regime_3_12,0.003936490414129387
13,log_volume,0.020708653524554678
13,abnormal_log_volume,0.006320983275911691
13,macro_vix,0.362793601634089
13,macro_epu,0.22446026384175083
13,macro_credit_spread,0.1130595306460784
13,macro_term_spread,0.06688078512958025
14,mom_12_1,0.035714758360044375
14,mom_6_1,0.032523549795390606
14,mom_3_1,0.024677083971885803
14,tsmom_12,0.007519537951963967
14,tsmom_sign_12,0.0005853478076327593
14,reversal_1m,0.009145777135972264
14,ma_gap_12m,0.02535183304706012
14,ma_crossover_6_12,0.02002274765888482
14,vol_3m,0.0067497465471087386
14,vol_12m,0.08227235604096915
14,vol_regime_3_12,0.0038211358727622702
14,log_volume,0.016409753888482165
14,abnormal_log_volume,0.008177845830561258
14,macro_vix,0.3683052101480075
14,macro_epu,0.1953238428100894
14,macro_credit_spread,0.09477349139868098
14,macro_term_spread,0.0686259817345038
15,mom_12_1,0.02285481336159958
15,mom_6_1,0.024479099056494775
15,mom_3_1,0.01819609001857536
15,tsmom_12,0.006827084079882661
15,tsmom_sign_12,9.09649567264652e-05
15,reversal_1m,0.005352632967980859
15,ma_gap_12m,0.026530262152502534
15,ma_crossover_6_12,0.014941401394443858
15,vol_3m,0.007251926500242046
15,vol_12m,0.11013866588158096
15,vol_regime_3_12,0.0028943902018270184
15,log_volume,0.03041632742304127
15,abnormal_log_volume,0.009017058767514415
15,macro_vix,0.425083788913415
15,macro_epu,0.17590369052394658
15,macro_credit_spread,0.027254961493848134
15,macro_term_spread,0.09276684230637855
16,mom_12_1,0.02103114908766342
16,mom_6_1,0.024216575768740155
16,mom_3_1,0.023604916050264314
16,tsmom_12,0.005709052290187424
16,tsmom_sign_12,0.0
