fold_id,feature,repeat_id,baseline_mean_validation_return,permuted_mean_validation_return,importance_drop
0,mom_12_1,0,0.061170343309640884,0.015108101069927216,0.04606224223971367
0,mom_12_1,1,0.061170343309640884,0.05892440676689148,0.002245936542749405
0,mom_12_1,2,0.061170343309640884,0.011883895844221115,0.04928644746541977
0,mom_6_1,0,0.061170343309640884,0.07451008260250092,-0.013339739292860031
0,mom_6_1,1,0.061170343309640884,0.06476711481809616,-0.0035967715084552765
0,mom_6_1,2,0.061170343309640884,0.07788309454917908,-0.016712751239538193
0,mom_3_1,0,0.061170343309640884,0.06673981249332428,-0.005569469183683395
0,mom_3_1,1,0.061170343309640884,0.08046813309192657,-0.01929778978228569
0,mom_3_1,2,0.061170343309640884,0.07265153527259827,-0.011481191962957382
0,tsmom_12,0,0.061170343309640884,0.004883654415607452,0.05628668889403343
0,tsmom_12,1,0.061170343309640884,0.03613637015223503,0.025033973157405853
0,tsmom_12,2,0.061170343309640884,-0.007039953023195267,0.06821029633283615
0,tsmom_sign_12,0,0.061170343309640884,0.1271025687456131,-0.06593222543597221
0,tsmom_sign_12,1,0.061170343309640884,0.07955284416675568,-0.018382500857114792
0,tsmom_sign_12,2,0.061170343309640884,0.025694478303194046,0.03547586500644684
0,reversal_1m,0,0.061170343309640884,0.05506141483783722,0.006108928471803665
0,reversal_1m,1,0.061170343309640884,0.04492573440074921,0.016244608908891678
0,reversal_1m,2,0.061170343309640884,0.05833499878644943,0.002835344523191452
0,ma_gap_12m,0,0.061170343309640884,0.06841593980789185,-0.007245596498250961
0,ma_gap_12m,1,0.061170343309640884,0.0899367406964302,-0.028766397386789322
0,ma_gap_12m,2,0.061170343309640884,0.07359357178211212,-0.012423228472471237
0,ma_crossover_6_12,0,0.061170343309640884,0.06270615011453629,-0.001535806804895401
0,ma_crossover_6_12,1,0.061170343309640884,0.06601585447788239,-0.004845511168241501
0,ma_crossover_6_12,2,0.061170343309640884,0.061413802206516266,-0.00024345889687538147
0,vol_3m,0,0.061170343309640884,0.06409872323274612,-0.00292837992310524
0,vol_3m,1,0.061170343309640884,0.06042864918708801,0.0007416941225528717
0,vol_3m,2,0.061170343309640884,0.05474666878581047,0.006423674523830414
0,vol_12m,0,0.061170343309640884,0.061342380940914154,-0.00017203763127326965
0,vol_12m,1,0.061170343309640884,0.06091773509979248,0.00025260820984840393
0,vol_12m,2,0.061170343309640884,0.061297304928302765,-0.0001269616186618805
0,vol_regime_3_12,0,0.061170343309640884,0.07172315567731857,-0.010552812367677689
0,vol_regime_3_12,1,0.061170343309640884,0.07641037553548813,-0.015240032225847244
0,vol_regime_3_12,2,0.061170343309640884,0.07267105579376221,-0.011500712484121323
0,log_volume,0,0.061170343309640884,0.02594013884663582,0.035230204463005066
0,log_volume,1,0.061170343309640884,0.03537321463227272,0.025797128677368164
0,log_volume,2,0.061170343309640884,0.03923030197620392,0.021940041333436966
0,abnormal_log_volume,0,0.061170343309640884,0.05938015505671501,0.0017901882529258728
0,abnormal_log_volume,1,0.061170343309640884,0.04452050104737282,0.016649842262268066
0,abnormal_log_volume,2,0.061170343309640884,0.04779444634914398,0.013375896960496902
0,macro_vix,0,0.061170343309640884,0.061170343309640884,0.0
0,macro_vix,1,0.061170343309640884,0.061170343309640884,0.0
0,macro_vix,2,0.061170343309640884,0.061170343309640884,0.0
0,macro_epu,0,0.061170343309640884,0.061170343309640884,0.0
0,macro_epu,1,0.061170343309640884,0.061170343309640884,0.0
0,macro_epu,2,0.061170343309640884,0.061170343309640884,0.0
0,macro_credit_spread,0,0.061170343309640884,0.061170343309640884,0.0
0,macro_credit_spread,1,0.061170343309640884,0.061170343309640884,0.0
0,macro_credit_spread,2,0.061170343309640884,0.061170343309640884,0.0
0,macro_term_spread,0,0.061170343309640884,0.061170343309640884,0.0
0,macro_term_spread,1,0.061170343309640884,0.061170343309640884,0.0
0,macro_term_spread,2,0.061170343309640884,0.061170343309640884,0.0
1,mom_12_1,0,-0.022252660244703293,-0.03499676659703255,0.012744106352329254
1,mom_12_1,1,-0.022252660244703293,-0.028791872784495354,0.006539212539792061
1,mom_12_1,2,-0.022252660244703293,-0.039599839597940445,0.017347179353237152
1,mom_6_1,0,-0.022252660244703293,-0.009941697120666504,-0.012310963124036789
1,mom_6_1,1,-0.022252660244703293,-0.0073466310277581215,-0.014906029216945171
1,mom_6_1,2,-0.022252660244703293,-0.02456532046198845,0.0023126602172851562
1,mom_3_1,0,-0.022252660244703293,-0.002631362061947584,-0.01962129818275571
1,mom_3_1,1,-0.022252660244703293,0.0014685096684843302,-0.023721169913187623
1,mom_3_1,2,-0.022252660244703293,-0.013291291892528534,-0.008961368352174759
1,tsmom_12,0,-0.022252660244703293,-0.06396668404340744,0.04171402379870415
