date,n_assets_total,n_missing_return,n_valid_return,missing_return_rate,gross_weight_before,gross_weight_valid,gross_weight_effective,dropped_weight_gross,renorm_scale,missing_return_policy,missing_return_rate_pct
2003-06-30,499,0,499,0.0,1.000000000081295,1.000000000081295,1.000000000081295,0.0,1.0,exclude_renorm,0.0
2003-07-31,499,0,499,0.0,0.9999999999717136,0.9999999999717136,0.9999999999717136,0.0,1.0,exclude_renorm,0.0
2003-08-29,500,0,500,0.0,0.9999999999188764,0.9999999999188764,0.9999999999188764,0.0,1.0,exclude_renorm,0.0
2003-09-30,500,0,500,0.0,0.9999999999052674,0.9999999999052674,0.9999999999052674,0.0,1.0,exclude_renorm,0.0
2003-10-31,500,0,500,0.0,1.000000000035104,1.000000000035104,1.000000000035104,0.0,1.0,exclude_renorm,0.0
2003-11-28,499,0,499,0.0,1.0000000000983498,1.0000000000983498,1.0000000000983498,0.0,1.0,exclude_renorm,0.0
2003-12-31,499,0,499,0.0,1.0000000000114553,1.0000000000114553,1.0000000000114553,0.0,1.0,exclude_renorm,0.0
2004-01-30,499,0,499,0.0,0.9999999999722622,0.9999999999722622,0.9999999999722622,0.0,1.0,exclude_renorm,0.0
2004-02-27,498,0,498,0.0,0.9999999999748227,0.9999999999748227,0.9999999999748227,0.0,1.0,exclude_renorm,0.0
2004-03-31,500,0,500,0.0,1.0000000000843143,1.0000000000843143,1.0000000000843143,0.0,1.0,exclude_renorm,0.0
2004-04-30,499,0,499,0.0,1.000000000065549,1.000000000065549,1.000000000065549,0.0,1.0,exclude_renorm,0.0
2004-05-28,500,0,500,0.0,1.0000000000749696,1.0000000000749696,1.0000000000749696,0.0,1.0,exclude_renorm,0.0
2004-06-30,500,0,500,0.0,0.999999999992873,0.999999999992873,0.999999999992873,0.0,1.0,exclude_renorm,0.0
2004-07-30,497,0,497,0.0,0.9999999999339422,0.9999999999339422,0.9999999999339422,0.0,1.0,exclude_renorm,0.0
2004-08-31,499,0,499,0.0,0.9999999999876161,0.9999999999876161,0.9999999999876161,0.0,1.0,exclude_renorm,0.0
2004-09-30,499,0,499,0.0,0.9999999999391693,0.9999999999391693,0.9999999999391693,0.0,1.0,exclude_renorm,0.0
2004-10-29,498,0,498,0.0,0.9999999999273679,0.9999999999273679,0.9999999999273679,0.0,1.0,exclude_renorm,0.0
2004-11-30,499,0,499,0.0,1.0000000000907399,1.0000000000907399,1.0000000000907399,0.0,1.0,exclude_renorm,0.0
2004-12-31,500,0,500,0.0,1.0000000000340508,1.0000000000340508,1.0000000000340508,0.0,1.0,exclude_renorm,0.0
2005-01-31,499,0,499,0.0,1.0000000000418323,1.0000000000418323,1.0000000000418323,0.0,1.0,exclude_renorm,0.0
2005-02-28,500,0,500,0.0,0.9999999999409195,0.9999999999409195,0.9999999999409195,0.0,1.0,exclude_renorm,0.0
2005-03-31,497,0,497,0.0,1.0000000000687856,1.0000000000687856,1.0000000000687856,0.0,1.0,exclude_renorm,0.0
2005-04-29,499,0,499,0.0,0.9999999999572535,0.9999999999572535,0.9999999999572535,0.0,1.0,exclude_renorm,0.0
2005-05-31,500,0,500,0.0,1.0000000000188136,1.0000000000188136,1.0000000000188136,0.0,1.0,exclude_renorm,0.0
2005-06-30,499,0,499,0.0,1.000000000002591,1.000000000002591,1.000000000002591,0.0,1.0,exclude_renorm,0.0
2005-07-29,498,0,498,0.0,1.0000000000646267,1.0000000000646267,1.0000000000646267,0.0,1.0,exclude_renorm,0.0
2005-08-31,496,0,496,0.0,1.0000000000260676,1.0000000000260676,1.0000000000260676,0.0,1.0,exclude_renorm,0.0
2005-09-30,499,0,499,0.0,1.000000000020836,1.000000000020836,1.000000000020836,0.0,1.0,exclude_renorm,0.0
2005-10-31,499,0,499,0.0,1.0000000000800653,1.0000000000800653,1.0000000000800653,0.0,1.0,exclude_renorm,0.0
2005-11-30,497,0,497,0.0,1.0000000000729536,1.0000000000729536,1.0000000000729536,0.0,1.0,exclude_renorm,0.0
2005-12-30,497,0,497,0.0,1.0000000000799458,1.0000000000799458,1.0000000000799458,0.0,1.0,exclude_renorm,0.0
2006-01-31,497,0,497,0.0,1.0000000000597051,1.0000000000597051,1.0000000000597051,0.0,1.0,exclude_renorm,0.0
2006-02-28,499,0,499,0.0,0.9999999999653459,0.9999999999653459,0.9999999999653459,0.0,1.0,exclude_renorm,0.0
2006-03-31,499,0,499,0.0,0.999999999997184,0.999999999997184,0.999999999997184,0.0,1.0,exclude_renorm,0.0
2006-04-28,495,0,495,0.0,1.0000000000606377,1.0000000000606377,1.0000000000606377,0.0,1.0,exclude_renorm,0.0
2006-05-31,498,0,498,0.0,0.9999999999274979,0.9999999999274979,0.9999999999274979,0.0,1.0,exclude_renorm,0.0
2006-06-30,497,0,497,0.0,1.0000000000617868,1.0000000000617868,1.0000000000617868,0.0,1.0,exclude_renorm,0.0
2006-07-31,500,0,500,0.0,0.9999999999350958,0.9999999999350958,0.9999999999350958,0.0,1.0,exclude_renorm,0.0
2006-08-31,497,0,497,0.0,1.0000000000434606,1.0000000000434606,1.0000000000434606,0.0,1.0,exclude_renorm,0.0
2006-09-29,500,0,500,0.0,1.0000000000951619,1.0000000000951619,1.0000000000951619,0.0,1.0,exclude_renorm,0.0
2006-10-31,499,0,499,0.0,0.9999999999610201,0.9999999999610201,0.9999999999610201,0.0,1.0,exclude_renorm,0.0
2006-11-30,495,0,495,0.0,1.0000000000460603,1.0000000000460603,1.0000000000460603,0.0,1.0,exclude_renorm,0.0
2006-12-29,498,0,498,0.0,0.9999999999421678,0.9999999999421678,0.9999999999421678,0.0,1.0,exclude_renorm,0.0
2007-01-31,498,0,498,0.0,0.9999999999303445,0.9999999999303445,0.9999999999303445,0.0,1.0,exclude_renorm,0.0
2007-02-28,498,0,498,0.0,1.0000000000587645,1.0000000000587645,1.0000000000587645,0.0,1.0,exclude_renorm,0.0
2007-03-30,496,0,496,0.0,1.000000000078329,1.000000000078329,1.000000000078329,0.0,1.0,exclude_renorm,0.0
2007-04-30,499,0,499,0.0,0.9999999999955272,0.9999999999955272,0.9999999999955272,0.0,1.0,exclude_renorm,0.0
2007-05-31,499,0,499,0.0,0.9999999999850279,0.9999999999850279,0.9999999999850279,0.0,1.0,exclude_renorm,0.0
2007-06-29,499,0,499,0.0,1.0000000000976896,1.0000000000976896,1.0000000000976896,0.0,1.0,exclude_renorm,0.0
2007-07-31,496,0,496,0.0,1.0000000000559282,1.0000000000559282,1.0000000000559282,0.0,1.0,exclude_renorm,0.0
2007-08-31,499,0,499,0.0,0.9999999999039444,0.9999999999039444,0.9999999999039444,0.0,1.0,exclude_renorm,0.0
2007-09-28,497,0,497,0.0,1.0000000000321259,1.0000000000321259,1.0000000000321259,0.0,1.0,exclude_renorm,0.0
2007-10-31,494,0,494,0.0,0.9999999999794724,0.9999999999794724,0.9999999999794724,0.0,1.0,exclude_renorm,0.0
2007-11-30,495,0,495,0.0,1.0000000000797813,1.0000000000797813,1.0000000000797813,0.0,1.0,exclude_renorm,0.0
2007-12-31,495,0,495,0.0,1.0000000000087637,1.0000000000087637,1.0000000000087637,0.0,1.0,exclude_renorm,0.0
2008-01-31,499,0,499,0.0,0.9999999999077116,0.9999999999077116,0.9999999999077116,0.0,1.0,exclude_renorm,0.0
2008-02-29,500,0,500,0.0,1.0000000000182263,1.0000000000182263,1.0000000000182263,0.0,1.0,exclude_renorm,0.0
2008-03-31,498,0,498,0.0,0.9999999999559123,0.9999999999559123,0.9999999999559123,0.0,1.0,exclude_renorm,0.0
2008-04-30,499,0,499,0.0,1.0000000000626026,1.0000000000626026,1.0000000000626026,0.0,1.0,exclude_renorm,0.0
2008-05-30,499,0,499,0.0,1.0000000000639029,1.0000000000639029,1.0000000000639029,0.0,1.0,exclude_renorm,0.0
2008-06-30,499,0,499,0.0,0.9999999999993652,0.9999999999993652,0.9999999999993652,0.0,1.0,exclude_renorm,0.0
2008-07-31,499,0,499,0.0,0.9999999999586796,0.9999999999586796,0.9999999999586796,0.0,1.0,exclude_renorm,0.0
2008-08-29,499,0,499,0.0,1.0000000000573566,1.0000000000573566,1.0000000000573566,0.0,1.0,exclude_renorm,0.0
2008-09-30,495,0,495,0.0,1.0000000000348734,1.0000000000348734,1.0000000000348734,0.0,1.0,exclude_renorm,0.0
2008-10-31,498,0,498,0.0,1.0000000000776268,1.0000000000776268,1.0000000000776268,0.0,1.0,exclude_renorm,0.0
2008-11-28,496,0,496,0.0,1.0000000000691491,1.0000000000691491,1.0000000000691491,0.0,1.0,exclude_renorm,0.0
2008-12-31,497,0,497,0.0,0.9999999999516802,0.9999999999516802,0.9999999999516802,0.0,1.0,exclude_renorm,0.0
